Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
selectively|0.00614386752498,evolved|0.00707905512669,multivariate|0.00503586642868,multi-touch|0.00503888935151,limit|0.00579902000018,radiology|0.00633016676362,review|0.00649402729328,document|0.00630888025111,variable|0.00338243908583,treemap|0.00345058140425,split|0.00691104258267,tract|0.00314132986439,path|0.00480437871089,streamline|0.00197604957373,versatile|0.00662061800109,university|0.00225247938879,volume|0.00522297692345,shared|0.00504169106628,modality|0.00339844836306,carefully|0.00214795868294
word|0.00444955005969,delineate|0.00675158125951,domain|0.00485459190925,quantify|0.00477135831461,impractical|0.00575955579775,electron|0.00597782992936,noise|0.00627955842893,comparative|0.00609036189086,guideline|0.00331688163886,guided|0.00319258428232,measuring|0.00635668291383,allowed|0.00304498035159,dataset|0.00433483972587,otherwise|0.00188501701203,conflicting|0.00641914976124,cloud|0.00206966698407,colonoscopy|0.00494579617331,collaboration|0.00439027041124,dimensionality|0.00316561209474,variability|0.00209747360592
matching|0.00389350995789,movement|0.00627458328541,existing|0.00482175381165,inverse|0.00459088325024,multi-scale|0.0056927646254,transient|0.00586296028571,smoothing|0.00547688379582,contribute|0.00587097488104,asked|0.00320878010207,motif|0.00277359739328,mining|0.00524075803839,texture-based|0.00286390761459,motion|0.00420822465963,g|0.00187409354004,category|0.0058268881573,rarely|0.0020155733906,flow|0.00483598128328,sensor|0.00362152130315,correlated|0.00273086892535,brushing|0.00208154264932
plot|0.0036077730044,social|0.00600000462876,ambient|0.00476218794426,cardiovascular|0.00456111588601,hard|0.00561366501299,mental|0.00577485912955,encoding|0.00512981540998,ranking|0.00564939758122,surrounding|0.00314108453543,patent|0.00261530722387,molecular|0.0049276434365,fashion|0.0028246850366,method|0.00418120338795,demonstrator|0.00181932843969,account|0.00526254924164,addressing|0.00194597247466,map|0.00480779963828,video|0.00355581666169,descriptor|0.00248004136141,realism|0.00206632830894
timeline|0.00346781635484,containing|0.0057144281482,mapping|0.00469409096311,exact|0.00443286448683,nerve|0.00558351299676,discovery|0.00518099477345,public|0.00402405706141,monitoring|0.00553957853078,dimension|0.00302755980796,urban|0.00244950072707,discover|0.00370294207885,turn|0.00279922964213,animation|0.00413364248739,game|0.00167996705038,high-quality|0.00509422266543,cortical|0.00190132696344,extensive|0.00478830528508,embedding|0.00306444515081,bia|0.00235081944771,leaf|0.00202607681879
scatter|0.00331222031461,increasing|0.00480669371812,scientific|0.0044248457242,high-dimensional|0.00437286891612,chain|0.00530712445746,analyst|0.00487324805391,comprehension|0.00364868536529,entity|0.00543829999278,list|0.00270974293863,depict|0.00236228341915,lattice|0.00363187123035,organizational|0.00248333502966,enable|0.00399801061361,turk|0.00159515685025,influence|0.00401178178139,creativity|0.00185003957012,evaluated|0.00466713249141,provenance|0.00300066700979,advection|0.0023504355668,storm|0.0019412810363
seismic|0.00288018171711,discovery|0.00420708270457,imaging|0.00434401262857,user|0.0043618495869,treatment|0.00514275079433,priorus|0.0047941269511,evolution|0.00347690416291,hinder|0.00498124622966,md|0.00270288566003,ever|0.00220816431069,evolution|0.00288945183743,non-linear|0.00245478123705,heat|0.00397788014806,trail|0.00150521169387,symmetry|0.0039305114525,analytical|0.00173080328661,could|0.00460600534196,genome|0.00292085778748,side-by-side|0.00217368128571,banking|0.00164485117152
greater|0.0024098722199,developer|0.00375220778734,approach|0.0043351281032,additionally|0.0043365541191,pronounced|0.0051070281695,scatterplot|0.00451378693133,multiscale|0.00328611453349,percentage|0.00459564630601,regression|0.00258999960801,major|0.00208232269818,spread|0.00283865503264,predictor|0.00235001421862,interface|0.00390009640037,causing|0.00134781480268,document|0.0032480672847,usability|0.00172956599202,transport|0.00452710111233,analyst'|0.0027190618054,adjusting|0.00209365021648,versatility|0.00152791560929
smart|0.00238765011835,vortex|0.00344081992053,luman|0.00418304655159,denoising|0.00430116430352,determination|0.00504642588337,structural|0.00423290183471,shader|0.00286320246342,appropriately|0.00452944197447,major|0.00244962348081,comparable|0.00195931925867,comparison|0.00277543779609,helped|0.002327506297,conference|0.00385465968799,universal|0.00126523929994,preintegrated|0.00314342392488,competitive|0.00161991232152,fea|0.00448091616245,formation|0.00233999733657,might|0.00203692126953,vtk|0.00152597711659
great|0.00224723426225,demonstrating|0.0032885572046,visualization|0.00412183089778,selection|0.00421770992202,rich|0.0049517987551,containing|0.00414492215273,insight|0.00277286305694,time-varying|0.00447709401192,focus+context|0.00239711903137,angular|0.00177462652893,parameterization|0.00257816657548,gene|0.0022127447666,reality|0.00372884948172,beginning|0.0012531709242,product|0.00292328195346,rating|0.00156601419035,lighting|0.00438890983808,insight|0.00226605492831,image-based|0.00194239851748,induced|0.00151554940189
potentially|0.00223902782284,geovisualization|0.00317957386948,volumetric|0.00409289113309,event|0.0041966385381,industrial|0.00493531522016,employing|0.00414422418207,reveal|0.00267242759857,criterion|0.00446459920415,choice|0.00237248919298,pixel-oriented|0.00168937753165,raw|0.00256818679332,delaunay|0.00220788560091,interaction|0.00366205073015,phenomenon|0.0012476484007,member|0.0028961132184,tight|0.00154808311389,study|0.0042841907903,destination|0.00221985140822,cartogram|0.00190183964814,perceptually|0.00150356795053
data-driven|0.00223816546269,knowledge|0.00312300134871,parameter|0.00398445671839,physically|0.00417296503097,directed|0.00467838140858,visual|0.00392004295855,employee|0.00265249688218,temporal|0.00414575349642,graph|0.00211310835826,synthesi|0.00167793424235,sequential|0.00246190624782,education|0.00217684574174,pathology|0.00361874569764,partitioning|0.00123368425158,examine|0.00273387962678,judgment|0.00154547934185,algebra|0.00427023889456,internet|0.00218193558806,influence|0.00188337743421,iv|0.00147193161672
len|0.00219461345222,conclusion|0.0031068833182,interactive|0.00380513090077,orthographic|0.00406153984614,assessing|0.00462454746748,incorporate|0.00387518444745,surveillance|0.0025907826095,histogram|0.00410919843195,table|0.00210623737569,expand|0.00167122167146,economic|0.00241010800666,sport|0.0021694330883,network|0.00357947718404,discussing|0.00122046232862,composition|0.00257172256868,slow|0.00151454955158,manipulation|0.00424220514732,assembly|0.00213243263265,beside|0.00181314009554,radar|0.00146387038332
ground|0.00215638822983,story|0.00288082901621,x-ray|0.00378935966804,rapidly|0.00397859347486,leading|0.00436727482435,multidimensional|0.00360340081478,frequently|0.00247464453334,extraction|0.00377601730058,browsing|0.00204491448056,display|0.00165720679727,instant|0.0022712164046,verify|0.00208849265174,volume|0.0035662121895,convergence|0.00118978277717,matter|0.00234743019114,half|0.00150946423696,virtual|0.00412135391482,k|0.00200394360431,cloud|0.00174047164564,toolkit|0.00146216368239
name|0.00214925819209,insight|0.00279462221391,surface|0.0037063965133,advance|0.00387498976081,learning|0.00426907745279,display|0.00342962326508,worked|0.0023957811103,scalability|0.00327786170806,optimize|0.00172449060469,circular|0.00163697352213,monitor|0.00212834755933,piece|0.00199405440135,segmentation|0.00356405204485,32|0.00118908222167,ability|0.0022935719302,atmospheric|0.00147295258861,tangible|0.0040347079167,fragment|0.00195418421529,host|0.00172463802613,resemble|0.00141451896718
solved|0.00210252222759,tool|0.00259523617341,visual|0.00369879174478,assessment|0.00380284202584,incorporate|0.00424239216067,mining|0.00311357998758,recommendation|0.00231328884141,isosurface|0.00320719800349,utilizing|0.00171241982932,greatly|0.00162473881039,competition|0.00205070098046,repository|0.00199113722834,participant|0.00354365798607,coulomb|0.00114880999781,creating|0.00219235643311,motivated|0.0014566995534,visual|0.00399657796052,compound|0.00195394694111,layered|0.00167419700763,rope|0.00139789107519
uncertain|0.00203749639207,narrative|0.00251055349957,workflow|0.00359604318838,offer|0.00370635432679,combine|0.00404634017645,event|0.00307283520177,cut|0.00220037000099,incorporating|0.00305949064468,multi-dimensional|0.00167847541587,mas|0.00158353397369,event|0.00199152508732,facilitated|0.00193830343236,systematic|0.00354162585928,solving|0.00111065731603,though|0.00198125099827,discrepancy|0.00141984209881,vector|0.00397526412767,score|0.00179103953803,multimedium|0.00161320086101,informational|0.00130261306905
zoom|0.00187993550774,context-aware|0.00243104573465,model|0.00351812154716,medical|0.00365504780479,working|0.00363527921477,study|0.00295127174183,consumption|0.00219662495177,service|0.00302664617406,multidimensional|0.00164961901475,depicted|0.00156080659873,laboratory|0.00195824799583,database|0.00192304914656,individual|0.00349464233326,reflecting|0.00104957999714,color|0.00189130669479,annual|0.00138361027867,perception|0.00395263753046,threshold|0.00168208405496,respect|0.00159055140185,isolate|0.00127518637883
transparency|0.00185424708932,evaluation|0.00234541427357,method|0.00351444202451,ensemble|0.00364974899474,whether|0.0035256439594,comparison|0.00294448307418,convey|0.00218661539551,contest|0.00298615368333,building|0.00160953990262,encoding|0.00155248775565,comparing|0.00194314744002,va|0.00190577474726,tracking|0.00349418195454,justify|0.00104598222693,begin|0.00188586713296,data-flow|0.00137691443042,real-time|0.00386282642851,focus+context|0.00159500861504,semi-automated|0.00154193274217,reveal|0.00122755301335
determining|0.00181977156979,relevance|0.00225522100803,feedback|0.00345877162875,testing|0.00350913163635,due|0.00328491164995,record|0.00293689173492,spatialization|0.00214033410922,social|0.00269684482162,interface|0.0016041312521,table|0.00154893421337,lot|0.0018104627111,fact|0.00188540092525,visualization|0.00349360622098,pollution|0.000964429897484,solve|0.00176918602538,movie|0.00137052048083,field|0.00385354310776,stem|0.00156881029519,classic|0.00153287462169,laser|0.00121666155465
smoothing|0.00179425361663,concrete|0.00223532615907,reformation|0.0034488639783,information|0.00340270831128,insight|0.00322720517791,coordinated|0.00289396490072,opacity|0.00207454766994,algorithm|0.00257684556051,gathered|0.00159785141181,vorticity|0.00153247880592,close|0.00179687929448,flow|0.00187660628343,datum|0.00341951384515,caused|0.000942466498762,acquisition|0.00176310970508,reliably|0.00135375470156,medical|0.0038355639702,hue|0.00154827957381,geographically|0.00152936578261,provider|0.00120988414254
statistically|0.00179141237217,mining|0.00214547381447,pc|0.00334421605713,indistinguishable|0.00332275332346,smooth|0.00320398265169,temporal|0.00279397037254,benefit|0.00200475084603,email|0.00252226351514,scatterplot|0.00159481749781,driven|0.00153161138256,high-level|0.00178672538026,guarantee|0.0018650926446,design|0.00331091892221,never|0.000894830763099,theme|0.00171063973647,top-down|0.00125015766564,despite|0.00374895209268,interval|0.00147054242283,degenerate|0.00150024114344,anatomic|0.00119176825411
analyst|0.00177956053268,user-centered|0.00210302296685,tomography|0.00333088574511,reliable|0.00329002444664,applying|0.00311740038839,subset|0.00275609884325,pattern|0.00196295602339,transition|0.00244023196231,fewer|0.00158308026703,combine|0.00150229643364,reveal|0.00178358375445,insight|0.00185350906473,show|0.00330304406564,loop|0.00089450971947,redundant|0.00169211097669,rigorou|0.0011423017108,accurate|0.00371324220637,mutual|0.00140896982589,argument|0.00145008870935,valley|0.00118982070894
depicting|0.00172677655592,setup|0.0020978041149,scale|0.0033110204683,recent|0.00328856765674,similarity|0.00311737059828,building|0.00271200302456,color|0.00184805254568,depiction|0.00238993045502,relational|0.00153684770866,straight|0.00148875925037,predict|0.00176705228723,manifold|0.0018204785747,scheme|0.00328568568352,testbed|0.000841315149424,reconstructing|0.00156987010662,additionally|0.00114003377363,increased|0.00367569262996,minima|0.00140057649924,tensor|0.00144411068866,adaptation|0.00116691984032
home|0.00172396847448,interaction|0.00204496671758,computational|0.00327349565201,enable|0.00328295787066,track|0.00310688583249,high-dimensional|0.00268945773738,daily|0.00182948349201,modern|0.00225032618207,composite|0.00153121884933,world|0.0014724075488,whether|0.00175887391182,significance|0.0017921921164,user|0.00325067820179,buried|0.000833428512754,logarithmic|0.00150007822114,impacted|0.00113879849746,evaluate|0.00364301889873,list|0.00137840306406,ordering|0.00142653992682,hierarchy|0.00115559411103
affected|0.00170278684536,haptic|0.002023740546,integrate|0.00326371491704,perceivable|0.00321305143628,color|0.00309432152907,web|0.00251700686013,hand|0.00167298823332,bar|0.0022063390138,subject|0.00145430440969,hierarchical|0.00146610569184,crisi|0.00173585402036,hypothesis|0.00177380101344,oscillation|0.00322743288939,uniquely|0.000826217912833,deformable|0.00144257110005,deviation|0.00112965134445,querying|0.00362159715988,augmented|0.00136776300015,polar|0.00141219565298,nucleu|0.00106452856535
directed|0.00168988650829,formal|0.0019882554486,sample|0.00323868178499,view|0.00319644255518,sampling|0.00291206913451,encoding|0.00249251164663,expressed|0.0015599023302,hybrid|0.00217181576781,query|0.00144299554512,grayscale|0.00144604499517,preferred|0.00169229275169,trigger|0.00176355809827,artery|0.0032139922414,intersection|0.000803491719345,feasibility|0.00138032413002,update|0.00112137120067,behavior|0.00361359853975,correspondence|0.00134265191924,rhetorical|0.00139642514219,modified|0.00103897595027
account|0.00164303477111,metaphor|0.00198312454014,generate|0.00321349140277,high|0.00313695456369,time-series|0.00283691029101,web-based|0.00231128215344,long-term|0.00153834585143,large-scale|0.00212566332827,action|0.00143840298286,money|0.00144012209043,synthesize|0.00167918922695,focal|0.00175645850448,learner|0.00312903007268,strategic|0.000768767893234,near|0.00133682966711,edge|0.00107564436556,image|0.00355560452321,search|0.00130927907473,texture|0.00138810319352,regulation|0.00101999195428
offering|0.00163024549158,usability|0.00197892258348,typical|0.00320458394323,topology|0.00306896153873,tensor|0.00265158771981,summary|0.00227278435789,challenge|0.00151995839837,dataset|0.00212505165078,combine|0.00143656775173,dimensional|0.00143232114909,sector|0.00160896707338,recognize|0.00169856610972,characteristic|0.0030584319818,ease|0.000741307718574,opinion|0.00132652955281,spanning|0.00107397724156,practice|0.00352002997096,atomic|0.00130545129321,lastly|0.00138020388213,originally|0.00100098994977
behavioral|0.00160941862178,observation|0.00194561446422,computed|0.0031904899158,challenging|0.00306789701762,glyph|0.00250563888946,dimensional|0.00225382834032,analyst|0.00150103290057,query|0.00203805337891,observational|0.00142655346727,occurring|0.00140687004208,personnel|0.00156929929006,reveal|0.00167816309918,effect|0.0030374418962,accessed|0.000678078619069,introducing|0.00131205890805,characterize|0.00106650699299,clustering|0.00349945239134,interference|0.0012822196471,respectively|0.00136467311992,hybrid|0.000955127471176
ease|0.00160223087252,corpus|0.00192620627214,novel|0.00312611136285,relationship|0.00305686322113,edge|0.00244418828663,correlation|0.00222983716227,multifield|0.00148132938889,combine|0.00201006277763,subtree|0.0013970267691,viewpoint|0.00139904954507,layout|0.00154155785645,emphasize|0.00165629438469,3-d|0.00303401606624,interoperability|0.000656501284496,ray|0.00130755256904,trial|0.00105134938924,offer|0.00343639232368,time-oriented|0.00128042949906,variation|0.00132901864028,drop|0.000908876674933
total|0.00157735703207,association|0.00184725162839,vium|0.00312068435314,chose|0.00303321926631,extracted|0.00235714831769,collection|0.0021153287323,astrophysic|0.00145992882099,filtering|0.00192894887366,deformed|0.00139110531269,complex|0.00137547002948,consequence|0.0015243261633,stacking|0.00155665742823,diffusion|0.00301674981875,combat|0.000640193931465,moved|0.00129881827336,&|0.00103280075514,animation|0.00330344214876,glyph|0.00127967631582,metadatum|0.00131517612112,layered|0.00089479769092
focus+context|0.00156180200523,decade|0.00184616102072,compared|0.00305911975207,mature|0.00302046163908,metric|0.00230417952611,physically|0.00205388561553,sufficiently|0.00145346576609,suggestion|0.0019265443819,origin|0.00135291616659,separating|0.00137202795247,directional|0.00148883484532,thread|0.0015265383579,dynamic|0.0029803971345,growing|0.000620960116968,exchange|0.00127977548202,traversing|0.00102553813443,3d|0.0032335751368,client|0.0012642404499,benefit|0.00129446078797,topic|0.000892728831799
asses|0.00155638734985,question|0.00182966624966,set|0.00305472210845,pattern|0.00301785043764,graph|0.00229298258035,brushing|0.00204632572014,action|0.00144444236061,relation|0.00190182815849,dataset|0.00134024289531,20|0.0013361271333,country|0.00148243398756,pure|0.00146323005869,structure|0.00287318388378,assist|0.000594653813619,conservation|0.00125421965951,repeatedly|0.00101443814707,dense|0.00317316551991,collision|0.00116534839318,satellite|0.00120199499791,reasonably|0.000875934635684
suite|0.0015402456769,bounding|0.00180956267761,current|0.00303852477089,walking|0.00298353455924,effectivenes|0.00227261103222,datum|0.00197381985799,survey|0.00140556659192,connected|0.0018812998402,rationale|0.001334011895,context|0.00131861795621,substantial|0.00146502448471,net|0.00145457260765,three-dimensional|0.00287026869256,viewpoint|0.0005846092644,dimensionality|0.00125219917294,fmy|0.00100282145777,optimization|0.00315855714776,manage|0.00113442249709,correlation|0.00117109600418,arrow|0.000873048441518
deliver|0.00146615515119,text|0.00177183637062,extraction|0.00303841316871,datum|0.00297071674332,facet|0.00222581643994,toolkit|0.00191120503499,comparison|0.00139736833309,flow|0.00186706079013,familiarity|0.00133155686202,navigation|0.00130947642166,subset|0.00145595680365,black|0.00138324080956,present|0.00285179324361,strategy|0.000578247175033,comprehensible|0.00124834916295,assume|0.000993985426169,contrast|0.0031430605974,contaminant|0.00112787965561,coordinate|0.00116656574256,digital|0.000856631208054
selection|0.00146046845234,activity|0.00174858418181,automatically|0.00301285248601,f+c|0.00290387011371,gaussian|0.00214559329195,projector|0.00187963238128,detecting|0.00138939179754,extending|0.00185465847246,algorithmic|0.00129780781299,move|0.00128918829674,increasingly|0.00143798862647,suggested|0.00137747130675,space|0.00284834615671,might|0.000575841991221,criterium|0.00121797542987,freely|0.000951744453657,4d|0.00312920188539,plant|0.00110325325078,growing|0.0011564998728,alternate|0.000837703683776
estimation|0.00144637627721,concise|0.00174502129347,eg|0.0030023580412,variable|0.00288674214393,dataset|0.00213582689862,overview|0.00187171355003,persistent|0.00138567999787,investigation|0.00180182889631,increasingly|0.00128143623121,message|0.00127810970772,conclude|0.00143534919537,supporting|0.00136757808134,performance|0.00279760004095,utilized|0.000570252853102,flood|0.00116788271283,major|0.000942033942359,optimal|0.00312575398177,routine|0.00109782163751,implement|0.00114438519857,saliency|0.000830932165314
maker|0.0014458876951,spiral|0.00167416872743,reinforced|0.00299070139662,aliasing|0.0028499562375,field|0.00213025695858,assumption|0.00185506389897,measurement|0.00136857409015,visual|0.00170843705806,faced|0.0012686070075,fund|0.00127762493013,structural|0.00142043496833,expectation|0.0013141138497,result|0.00277267649602,hyperplane|0.000561701383754,guideline|0.00116691081318,ray-tracing|0.000929643693124,source|0.00311408693831,ie|0.00108281313646,textual|0.00114186412445,emission|0.000826393627598
subtle|0.00143929277528,barrier|0.00159973779588,spherical|0.00298659147307,maintain|0.00283604158382,attempt|0.00200952725509,&|0.00181172720858,universe|0.00135855887753,volume|0.0016801450189,databasis|0.0012568717897,correspond|0.00126595316229,additionally|0.00141135293593,preliminary|0.00127893166634,system|0.0027557549184,uneven|0.000560070491985,choose|0.00111408184907,semitransparent|0.000920666575008,surface|0.00306025978445,situ|0.00103917913629,spreading|0.00113009925034,arena|0.000824924850338
convey|0.00142379909452,academic|0.00156338832948,allows|0.00297779882071,evidence|0.00279257850436,tracking|0.00198641711006,view|0.00180582615438,sketching|0.00134413646491,generate|0.00165881007325,avoided|0.00125456367471,landscape|0.00125554848042,fire|0.00139698579197,action|0.00125474437418,provide|0.00272921769301,interpreter|0.000553789507577,creation|0.00108321149151,encounter|0.000909114230483,coherent|0.00304566602901,server|0.00103288941936,existence|0.00111382545543,spatializing|0.00082315755595
peak|0.00140563867525,ecosystem|0.00153152348472,interpolation|0.00297552171862,time|0.00276540545072,statistical|0.00195413812497,step|0.00179395330839,discovery|0.0013376286658,datum|0.00161699077589,layout|0.001223073589,technique|0.00123825833487,spot|0.00138836223314,embed|0.0012543163671,work|0.00271852022029,bernstein-bezier|0.000553456159206,graph|0.00101839587208,phrase|0.000898684960089,ten|0.00303624188006,upon|0.00101976498396,occurrence|0.00108170580594,seen|0.000821562989537
place|0.00140300685466,diversity|0.0015061102361,level|0.00296913058337,layout|0.00275213484701,view-dependent|0.00192817908148,believe|0.00178065718378,scientific|0.00132885792791,2011|0.00158854782689,place|0.00122211058701,vary|0.00122942989651,stability|0.00137602136942,interrelated|0.00124449251607,static|0.00267692615905,development|0.000540020141709,deformation|0.00100784152585,inverse|0.000872285868905,additional|0.00300970512804,dataset|0.00101870320839,comparison|0.00108105363747,text|0.000818626422566
increasing|0.00139765684626,evolutionary|0.00150336676776,predicate|0.00293313309213,property|0.0027169643025,picture|0.00186281779709,application|0.00169688202292,estimated|0.00130691127915,photo|0.0015868157741,localize|0.0012219289013,out-of-core|0.00122936236922,challenge|0.00133765243656,whether|0.00124157804262,year|0.00263907123737,placement|0.00053509006172,file|0.0010000748117,visited|0.000871770839273,significantly|0.00296240733677,lose|0.00101822671074,region|0.00107101590565,subset|0.000817232866248
flexibility|0.00137391781476,situation|0.00148760363479,3d|0.00293195568456,comparing|0.002695167948,prior|0.00185848508307,map|0.0016791388177,false|0.00130247439299,regularization|0.0015798333963,worker|0.00121387458701,double|0.00119933635222,radiu|0.0013199096084,definition|0.0012400037427,field|0.00261034871814,circle|0.000503725242153,principal|0.000958285565181,reader|0.00084229093573,space|0.00286020041999,tangible|0.00101581548027,increasingly|0.00104995916257,changing|0.000817101826392
desktop|0.00133830312157,species|0.00144095782631,user|0.00288799024445,interface|0.00268944678403,automatically|0.00179644248633,random|0.00167742535383,investigated|0.00129343983311,understanding|0.00157569193185,block|0.00119286707201,3d|0.00117952335476,purely|0.00131891519899,usual|0.00122800269294,imaging|0.00260155217848,browse|0.000501168938768,inevitable|0.000957260636375,flight|0.000838520558151,system|0.00285553822308,user|0.000999497382907,adapting|0.00103246166782,notably|0.000805335836263
