Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
free-form|0.00892977655904,subsequent|0.00846676532528,additionally|0.00906292265739,membership|0.00326538950237,mandatory|0.00869409337064,percentage|0.00695215593253,opacity|0.00725228521681,comparison|0.004656247534,aneurysm|0.00717090751081,begin|0.00268905340074,reliable|0.00690761423273,multi-field|0.00268277358368,ability|0.00505586003402,iterated|0.00887330740967,physically|0.00568326401817,scatterplot|0.00326519797598,scalable|0.00386200569498,platform|0.00290009179933,solver|0.0077942919593,health|0.0036697323775
40|0.00832987020527,cvd|0.00732147452849,collision|0.00852516473645,option|0.00304792233874,translucency|0.00835363682413,ieee|0.00606020444058,topological|0.00671747546164,complex|0.00452397906953,optimal|0.00716676337364,saliency|0.00252417279013,acros|0.00678292608263,predictor|0.00265019723836,datum|0.00505288386388,span|0.00837520791874,impact|0.00529238683695,adjacency|0.00314335284476,air|0.00358322558886,anomaly|0.00278242035721,evaluating|0.00763542429037,shader|0.00328306124305
projector|0.00570494172107,ensure|0.00448955794025,4d|0.0084822996735,urban|0.00298233119936,expert|0.00673169392019,camera|0.0053708462289,trend|0.00663347925943,interface|0.00430837926974,split|0.00704300350716,guideline|0.00250914706802,workspace|0.00646455973549,helped|0.00262481022544,blood|0.00491779199111,emerging|0.00789042978517,clustering|0.00499307693856,voronous|0.0029739890304,guidance|0.00351405986546,convection|0.00215164496969,driven|0.00734862509915,allowed|0.00305210639215
judgement|0.00339660863343,interview|0.00380421131915,shadow|0.0072645419137,smart|0.00295291114653,enabling|0.00666073638926,category|0.005125836602,denoising|0.00604577187925,multivariate|0.00419689026065,knowledge|0.00670931615534,statistically|0.00249618580742,dense|0.00615782150202,side-by-side|0.0023939052277,visualization|0.00488084662327,collect|0.00785086972686,quality|0.00497285472708,cell|0.00295916761476,utility|0.00326024944233,sketch|0.0021434041721,flame|0.00713038277993,geographic|0.00297725616428
ray-casting|0.00334804400047,surrounding|0.00344529153835,script|0.00669345064322,derivative|0.00276677534228,needed|0.00633081068422,statistical|0.00433000054756,function|0.00562051513821,pattern|0.0041302657599,sheer|0.00628729343152,facilitated|0.00238376091604,video|0.00592512253092,introducing|0.00225919102936,imaging|0.00464606422591,intervention|0.00780150966113,volumetric|0.00495286550653,complete|0.00269819621679,believe|0.00303967217902,intelligent|0.00203097469035,v|0.00665602985669,fashion|0.00283128853167
setup|0.00264517501201,planar|0.00322863144929,history|0.00654245401037,name|0.00265807737214,intuitive|0.00534517844832,touch|0.00332686821386,depth|0.00551497198857,connection|0.00408737646417,optimally|0.00584237492195,cortical|0.00220754611331,device|0.00545573298967,attack|0.00225367861603,field|0.00426311839649,radiology|0.00773654081331,volume|0.00491871008783,office|0.00264144413506,sequential|0.00285468793693,host|0.00202947767628,style|0.00652753410389,expected|0.00282925318849
transfer|0.00263476591321,contrast|0.00282102143375,diagnosi|0.00646708902057,separation|0.00263252983163,variant|0.00412166118073,length|0.00331249273629,purpose|0.00545691535941,design|0.00396287561532,realizing|0.00583253033699,medial|0.00214099892806,latest|0.00539782533091,theme|0.00223711963296,domain|0.00422976893122,camera|0.0070451737341,spatial|0.00489746473459,enabling|0.00258410220178,past|0.00285434542405,figure|0.00187123628919,biological|0.00651499780466,thinking|0.00280539693513
growing|0.00252031565367,power|0.00269019114788,discovered|0.00642672957981,layered|0.00244420925564,dtus|0.00386004111139,ensure|0.00319808778827,robust|0.00509723233409,novel|0.00392132586308,toolkit|0.00554215125632,sufficiently|0.0020443983375,geared|0.00518633621041,causal|0.00221273733416,application|0.00419413750634,patient-specific|0.00694699148503,specifically|0.00488707582364,slicing|0.00219019240069,zoom|0.00278569229201,metadatum|0.00179874760152,industrial|0.00651386448288,analytical|0.00274555031235
side|0.00243316702631,enough|0.00229050131201,literature|0.00609734708964,situational|0.00234222899522,conclusion|0.00380543949091,collaboration|0.00284382356922,method|0.00501068582415,work|0.00384745692103,morphing|0.0055119293881,maker|0.00203742010159,evidence|0.00493151120496,advection|0.00220436974349,system|0.00401276531189,soft|0.00654616169222,domain-specific|0.00466363039062,nearest|0.00193584500534,expertise|0.00274416404866,palantir|0.00179072339322,spline|0.00650569174371,modality|0.00257761212266
descriptive|0.00230480019088,out-of-core|0.00218097532279,stenose|0.00562210439399,gi|0.00224821307092,composition|0.00344422918776,open|0.00279902221088,volumetric|0.00490051672826,evaluated|0.0037678699975,radial|0.00539323980891,tackle|0.00199303138145,functionality|0.0047860772793,offering|0.00210503720712,transfer|0.00394980606445,linking|0.00654205561916,cfd|0.00463730007885,deformable|0.00189181245213,segmentation|0.00272226753106,lake|0.00163971039155,square|0.00646941377409,early|0.00257707329815
car|0.00213711261415,availability|0.00216972373977,report|0.00551954959524,seamles|0.00218584245457,developer|0.00305093333781,text|0.00269288352766,walking|0.00463094533362,color|0.00361180728764,fuzzy|0.00529308452325,semi-automated|0.00185186050995,collaborator|0.00473286734116,substantial|0.00206357820142,high|0.00378637432615,analytical|0.00651696481974,projection|0.00462354005281,exchange|0.00167832581848,embedded|0.00265714239402,lastly|0.00162416127237,priorus|0.00622705487809,intuition|0.00245990555314
redundant|0.00205014041728,faced|0.0021245563384,closed|0.00544543337988,helping|0.00216342519149,high-level|0.00286062770257,workload|0.00267270946295,multivariate|0.00459451399748,effect|0.00356703755995,feel|0.00522991629434,category|0.0016953071558,restricting|0.0045849381727,gradient|0.00198743680159,pore|0.00374044278824,walkthrough|0.00643677298864,technology|0.00461201314512,conservation|0.00164480636811,cycle|0.00244998057031,safety|0.00161621115844,attenuation|0.00612767869937,manually|0.00240491230875
rarely|0.00199012038087,preferred|0.00197610090597,dominant|0.00528799160315,affected|0.00210590805083,explanation|0.00270886678176,ratio|0.00251145971938,broad|0.00454876612171,method|0.00353262342883,transparent|0.00521329949914,perception|0.00166749136404,substantially|0.00457304803539,black|0.00184039270213,approach|0.00371507542113,organized|0.00630123298334,table|0.00459818536929,correlate|0.00162861053148,transparency|0.00240246056082,impossible|0.0015309131291,kind|0.00447864573478,studying|0.00227415731428
device|0.001726946858,month|0.00193810235315,in-between|0.00521392401979,targeted|0.00207373615509,command|0.00256847719071,decade|0.00208358095859,discipline|0.00422104974987,datum|0.00350299860252,consequently|0.00505240740459,mixed|0.00158363909042,inspired|0.00447112170558,top|0.00178735192906,different|0.00371088066696,exponential|0.00626039963228,orthographic|0.00457929620067,neighboring|0.00155643576515,attention|0.00233149323908,put|0.00152204375476,statistical|0.00376039417302,muscle|0.00224261514296
width|0.00170501835763,radar|0.00179744010992,time-resolved|0.00511048196695,behavioral|0.00199100748748,delaunay|0.00224281302976,corpus|0.00203177037537,adopted|0.00417572557141,high-quality|0.00350053496228,role|0.0050130504076,steering|0.00150299972601,forward|0.00445495934047,operational|0.0017451000798,dataset|0.00358440987411,art|0.00614169178009,learning|0.00455018698776,cubic|0.00155373452572,education|0.00225753761123,tunnel|0.00143399448742,yet|0.00359303746214,university|0.00213213853838
gabor|0.00158784842115,call|0.00178848290172,square|0.0050021358341,reasonable|0.00199010076244,subsequently|0.00220579763951,perception|0.00202655627907,dimensional|0.00414280086161,automatically|0.00349377261136,measurement|0.00491899662208,differ|0.00148280213522,biopsy|0.00444071999872,growing|0.00174497208255,interactive|0.00357763288394,lesson|0.00602049676874,last|0.00453034083723,banking|0.00153997592535,opportunity|0.00216733334525,encompassing|0.00141777951871,characterize|0.00318645059594,adjusting|0.00204938039218
compositing|0.00156040855696,meaning|0.00173762418142,cpr|0.00495798870122,carefully|0.00194139741184,opengl|0.00210886525057,indicator|0.00202036147088,adaptation|0.00411192333951,view|0.00344405742031,comprising|0.00490905008296,deficiency|0.00146285959154,accommodate|0.00440389167079,enhancement|0.00173189581869,structure|0.00354873172492,learned|0.00567123866081,investigation|0.00442717848653,blurring|0.00152463836712,complete|0.00192626045622,assistant|0.00131688091299,asked|0.0026592614984,role|0.00198612186742
20|0.00155000223769,whether|0.00170421678992,integrating|0.00491079657719,extremum|0.00193597548939,tissue|0.00203273663908,illumination|0.00197909629145,shaped|0.00408790028468,transport|0.00335866635764,low|0.00474912259047,abstraction|0.00142904369003,heart|0.00435958883684,demanding|0.00162388059136,interaction|0.00353628962896,coherent|0.00553120865771,intermediate|0.00431884247967,service|0.00151908558568,assist|0.00186309556348,coverage|0.00130838297958,tetrahedral|0.00260331202431,contact|0.0019572371593
radiu|0.0015429867643,feature-based|0.00166356162303,analysing|0.00451294480897,detecting|0.00176228020102,call|0.00189557758865,summarization|0.00192847501665,space|0.00406028605768,effectively|0.00333400189956,insufficient|0.00463803461499,color|0.00137325401826,simply|0.00434358428129,course|0.00160366288133,display|0.00351999290762,versu|0.00489729757398,group|0.00412464583466,living|0.00151738992692,reason|0.00183894046317,thematic|0.00128529019844,motif|0.00244127319987,anatomy|0.00192392757989
judgment|0.00152595561831,stability|0.0016067895834,discussion|0.00408935816722,mainly|0.00171762741741,guarantee|0.00189459947865,moment|0.00191538086915,hard|0.00390201045382,relationship|0.00332886247983,calibration|0.00460827641044,diffuse|0.00132183056159,chain|0.00433248475887,binding|0.00155506066292,animation|0.00351818017067,integrated|0.00427444169865,custom|0.00409766501472,discrepancy|0.00151635631335,intuitively|0.00181098698138,kept|0.00125671271587,gradient|0.00230080428213,unexpected|0.00188375351277
fe|0.0015162992526,enhanced|0.00159809375401,active|0.00394830209356,surface|0.00157410054159,interplay|0.00189204671141,probe|0.00190399384687,rendering|0.00389153818822,tool|0.00324924659275,play|0.00460734151255,indication|0.00131162390376,routing|0.00427064044063,attempt|0.00152721701667,3d|0.00351240995315,creating|0.00399431178819,prior|0.00405039986803,dimension|0.00149478134849,immediately|0.00174387342617,dot|0.00117174596016,propagation|0.00228758748977,academic|0.00188368818308
oriented|0.00147681235758,observational|0.00156597965515,regularization|0.00381938416305,line|0.00152717969821,reconstructing|0.00188745564998,box|0.00188580979234,simultaneou|0.00388454523538,visualization|0.00315113813312,metum|0.00454440953555,reaction|0.00130993179434,path|0.00409475765502,splat|0.00151867769016,microscopy|0.00349286738775,improve|0.00342486549025,step|0.00395305551788,smoke|0.00147939171292,identifying|0.00171621779663,exposed|0.0011333296646,texture-based|0.0022599028268,indexing|0.00187699618392
composite|0.00144980315506,i/o|0.00149346852317,high-quality|0.00379895977467,mosaic|0.00148504652172,diagnostic|0.0018573168575,painting|0.00187453487766,challenging|0.00380674853963,inverse|0.00310919776646,questionnaire|0.00450813573313,functional|0.00129986847214,so-called|0.00404977470094,department|0.00151748139101,graph|0.00347280002763,dimensionality|0.00329898192125,around|0.00383032355413,yet|0.00144693667845,abstraction|0.00170913037752,compilation|0.00112223295307,md|0.0022400164622,cartogram|0.0018616202573
clickstream|0.00142265579905,aortum|0.00139084488603,readily|0.00361230977107,prioritize|0.00142091692616,system'|0.00185002886046,wikipedium|0.00184745641631,applicability|0.00379845082989,event|0.00310304489591,setting|0.00450409801857,favorable|0.0012236575686,prevalent|0.0039532643872,load|0.00151135732357,image|0.00334776670165,planar|0.00318425518091,redistribute|0.00377115964627,whenever|0.0014375570753,motion|0.00165584168553,convenient|0.00111953471846,starting|0.0022106351179,stereo|0.00180111738622
solved|0.00138254400245,critical|0.0013615080704,applicable|0.0036118159094,supergraph|0.00140345975729,similarly|0.00183761181284,report|0.00178825317911,indicate|0.00378486285118,predicate|0.00308643085296,alleviate|0.00447783821565,trial|0.00122103400076,analytic|0.00391179595528,respectively|0.0015029298657,enable|0.00331516622286,diverse|0.00308492616087,usefulnes|0.00373458088918,versatility|0.00143049912865,agent|0.00164228393044,apart|0.00104590690685,function|0.00220984934312,expres|0.00179269031535
splatting|0.0013660313752,person|0.00135892439135,categorical|0.00341905952544,truly|0.00140155313941,clutter|0.00176666527069,blog|0.00177374163345,discretization|0.00373733679505,however|0.003076823027,alternatively|0.00441981433917,anatomic|0.00121338148486,proven|0.00391041424392,technical|0.00149802221762,reformation|0.00327492748702,log|0.00266615976427,could|0.00372632032651,template|0.00140531398742,steer|0.00163909366653,imagery|0.00103238610134,customer|0.00217010528508,active|0.00178739340093
superimposed|0.001344397499,citation|0.00133048194689,vision|0.00332134292247,unlike|0.00135767323029,network|0.00171361177609,ecosystem|0.00172847902266,abstract|0.00368704238321,increasing|0.00300675487197,polyp|0.00440029641139,essence|0.00118944595066,harmonic|0.00389056371053,cloud|0.00148792847955,task|0.00320853737037,individual|0.00263255467857,readability|0.00369296864269,optimal|0.00139247406691,limited|0.0016246754253,analyzed|0.00102146896298,biology|0.00216130881785,snapshot|0.00175176007091
reliably|0.00133665285787,network|0.00130827629965,scatterplot|0.00325072089711,spacetime|0.00132721336539,competing|0.00170298332939,sampled|0.00165578462034,metric|0.00367712707266,input|0.00295734715001,suffer|0.00430133148516,apparent|0.0011874589783,map|0.00387753830213,expose|0.00146759399091,medical|0.00319923992317,contribute|0.00261577372785,rendering|0.00362298073389,past|0.00138273819923,steering|0.00156750365861,f|0.00101846549312,regression|0.0021464563969,creativity|0.00175119965856
individual|0.00132866145344,increasingly|0.00129706247118,fit|0.00308304661813,satellite|0.00128127889452,thorough|0.00168402649389,opportunity|0.00158785619291,entity|0.00363275230834,extensive|0.00294312380928,integrating|0.00424433248042,uncertain|0.0011768164201,person|0.00377832778578,localize|0.00144726111191,parameter|0.00309749384381,seismic|0.00242294081775,comparative|0.0035367586512,reveal|0.00134702358665,saving|0.00153692351062,loaded|0.000999303546007,light|0.00210432964024,bring|0.00174022543442
worker|0.00131241510065,basis|0.00128188483744,blood|0.00297701829417,systematic|0.00126840914765,stroke|0.00166113837798,biological|0.00155755815626,voxel|0.0036175730722,question|0.0029408401586,insensitive|0.00423280395229,icon|0.00117461716609,flattened|0.00377068168797,segmentation|0.00144312618207,approximation|0.00307390253109,planning|0.00229037525437,gabor|0.00353252913938,converge|0.0013444169504,enhanced|0.00149908262312,culling|0.000996694057897,tensor|0.00204856134962,realism|0.00171466798696
deliver|0.00123163792022,inspect|0.00125714382583,2005|0.00288136972931,cyclic|0.00123861753121,cluttered|0.00165945295264,reveal|0.00152750754581,physician|0.00359232475388,integrate|0.00283216564036,arrangement|0.00410773353747,in-house|0.00117074136998,day|0.00377013112012,showing|0.00139574211905,surface|0.00304214036558,currently|0.00227107052864,topic|0.00342490532373,cellular|0.00133996184232,summarizing|0.00146476778506,document|0.000985637388169,message|0.00203086721718,transaction|0.00167293427687
configuration|0.00118238582006,lossles|0.00124719351334,perception|0.00285431393982,artistic|0.00122560074813,contrast|0.00159577053006,shadow|0.00150822882395,furthermore|0.00351243806316,creating|0.00282834143377,dependent|0.00403210338188,constrain|0.0011648337352,metric|0.0037018741653,matched|0.00137055846916,interface|0.00301910511759,ray|0.00212838718429,linked|0.00337604645044,top-down|0.00133512966696,verify|0.00143755363537,sql|0.000961440619241,field|0.00193283013122,synthesi|0.00164610739051
volume|0.00116090800307,recoloring|0.00123313996147,rendering|0.00264159864686,open|0.00121738398455,web|0.00155574758127,serve|0.00150207099711,volume|0.00349794474367,feedback|0.00282093123888,delineate|0.00385564271078,higher-level|0.00115747317451,concentrate|0.00368077510054,raise|0.00134949364754,reality|0.00300918127719,genome|0.00210523360435,incorporate|0.00331959147096,fluorescence|0.00133008813552,demonstrator|0.00142892640232,=|0.000951569424938,perceived|0.00190160470478,seeking|0.00161744222057
visit|0.00109151777879,orthogonality|0.00118506182838,shared|0.0026130620174,convention|0.00121394197744,pre-integrated|0.00149980750283,contest|0.00149686149351,surface|0.00345127474451,understanding|0.0027964292295,evaluate|0.00382138137404,quantitatively|0.00113333733041,matrix|0.00362654814581,ranked|0.00133145580733,analytic|0.00291936518358,image-based|0.00198453161497,image|0.00330412354187,ymy|0.00132679179588,adoption|0.00128986596735,governmental|0.000924304727801,texture|0.00187129663012,cartography|0.00161010296977
multi-projector|0.00106615112525,driven|0.0011690090001,shape|0.00259724889148,spreading|0.00120464269267,statistical|0.0014971909876,create|0.00148559484204,tangible|0.00335823630464,year|0.00277982713374,temperature|0.00380257926928,iconic|0.00111687606376,high-dimensional|0.00362177855121,role|0.00132365121511,extraction|0.00290641481621,analyst'|0.00195980210771,reading|0.00329906742083,spatially|0.00132483807816,technical|0.00128955867924,automated|0.000832263828229,synthetic|0.00173907433264,five|0.00157256016536
increasingly|0.00101979820557,relative|0.00114671388496,design|0.00242047630873,polyp|0.00117781913626,growing|0.00138547670755,measurement|0.00147239054669,arbitrarily|0.00326179215386,output|0.00275992479178,version|0.00371254676545,axi|0.00109297588203,motivate|0.00360916468424,add|0.00130342483198,ieee|0.00288135732731,ordering|0.00194385413915,suggesting|0.00324924965998,packing|0.0013198245396,dedicated|0.00127968937038,submission|0.000830157461376,comparable|0.00172455183981,relate|0.00156054915706
repeatedly|0.00100167210938,recognition|0.00112510417026,offer|0.00241020643573,imagery|0.00117112778925,draw|0.00129824128049,page|0.00147096175398,calculating|0.00322912830179,social|0.00275488206605,indicate|0.00365482733447,nucleu|0.00108384694306,fake|0.00358181010975,relative|0.0012718026697,morse|0.00286716758542,reduction|0.00189762307498,method|0.00320970052074,enough|0.00131361330655,normally|0.00126212250574,land|0.000809721983126,flow|0.00169287490333,community|0.00154726122728
display|0.000992178587947,state|0.00112417099033,proposed|0.00235909927111,16|0.00116913241472,normalized|0.00127922400743,compelling|0.00146621539016,piecewise|0.00320639191396,multiple|0.0027353559731,rotation|0.00349808731434,characterize|0.00108116597026,six|0.00357736247981,community|0.00126996540895,dynamic|0.00284483158571,instant|0.00188547286154,commercial|0.00320837440603,minimization|0.00126160848057,random|0.00125948250419,execute|0.000757249649803,linear|0.00166767102541,influenced|0.00154504706707
know|0.000950569357787,split|0.00109557786958,volume|0.00235006429255,vector|0.0011185456379,former|0.00122758777926,symposium|0.00146149321299,virtual|0.00312028124191,system|0.00272813725997,measuring|0.00338454857262,relative|0.00107574473464,followed|0.00350750079824,dealing|0.00126971249802,study|0.00284378950366,utility|0.00187499579466,head|0.00320784302421,trying|0.00125607072617,today|0.00125010800335,pruning|0.000756471145056,individual|0.0016331101955,major|0.00150681022517
visualization-driven|0.00092404747009,contemporary|0.00108774279245,embedded|0.00234781510646,closed|0.00111524222378,retaining|0.00119441472476,uniformly|0.00140699708536,scale|0.00302166303508,qualitative|0.00271020068374,mining|0.00332500044145,linear|0.00107382156018,little|0.00347190754878,active|0.00122998371235,visual|0.00281704179278,patent|0.00181888545046,encoding|0.0031336071696,tournament|0.00125356848935,large-scale|0.00124761632114,economy|0.000749740462574,additionally|0.00162319335852,geographically|0.00149702593315
performance|0.000853049964368,mask|0.0010868614417,vortex|0.00230850514438,skin|0.00110206485779,site|0.00117426936569,artist|0.00139110971646,contribute|0.00296678788955,focu|0.00268769748452,reported|0.00325269632047,prerequisite|0.00105371621136,intended|0.00346968635511,picture|0.00122092980008,user|0.00278696439129,relate|0.0017430412175,task|0.00310684295471,overplotting|0.00125049529823,optimal|0.001242403654,executing|0.000746945336028,fea|0.00161894202136,floating-point|0.00148137538287
valid|0.000846956743609,plume|0.00106794960442,labeling|0.00229529582077,optimal|0.00109709602218,driven|0.00116106688446,lesson|0.0013609656677,precise|0.00296192785353,description|0.00268362626152,embedded|0.00323589344899,modality|0.00104027277952,security|0.00329225232925,success|0.0012103929873,review|0.00278320490338,beneficial|0.00162256471212,imply|0.00309777566058,microsoft|0.00123334524067,target|0.00120912285472,high-dimensional|0.000736445303211,critical|0.00158423589674,expressive|0.00146355349553
wysiwyg|0.000846600516173,brought|0.00106033547972,depth|0.00225296028802,geographic|0.00108955054019,inevitable|0.00112762939747,embodied|0.00132317415078,color|0.00292402854645,quantitative|0.00267845263208,collaboration|0.00313512529558,tremendou|0.001029918832,remove|0.00320403384616,distinction|0.0012025664134,region|0.00278124583055,linguistic|0.00162101794708,attribute|0.0030083518246,provider|0.00113274520734,temporal|0.00120812032162,clustering|0.000728734412394,polynomial|0.00157876599038,evidence|0.00143405928381
secondly|0.000827840837556,largest|0.00103582290136,currently|0.00221369432288,valley|0.00107519502301,utility|0.00104495059433,learned|0.00128337328933,iteratively|0.00280890217883,display|0.00266587892096,coherent|0.00312351841639,rule|0.000960086389805,whether|0.00316713389859,additionally|0.00117845700264,present|0.00274976348952,reflection|0.00160891745735,key|0.00299574830776,grown|0.00108954630799,substantially|0.00119505097963,2009|0.000725110821735,grid|0.00153429516539,half|0.00142882337238
dealt|0.000822345939325,thank|0.00101745646104,aneurysm|0.00216156359701,suspected|0.00104833597449,anatomical|0.0010335484479,silhouette|0.00126976247024,3d|0.00278803809945,task|0.0026433344448,extensive|0.00305180133924,degree|0.000956980213462,space|0.00300691046413,textured|0.00112582463492,result|0.00273284759943,unfortunately|0.00159615209265,within|0.0029870920926,critical|0.00107389748631,seven|0.0011868547381,system|0.000706532187241,method|0.00147306845984,concerning|0.00142435954978
avoiding|0.000802140818081,art|0.00101497199831,projection|0.00210996820299,see|0.00103846984695,deep|0.00100998277356,light|0.00123604519438,measurement|0.00276852951878,containing|0.00261348936013,limited|0.00293705571301,imaged|0.000931856546077,detail|0.00295107180109,wind|0.00111001277824,provide|0.00271998442268,attempt|0.00158380469889,frequently|0.00297793130234,dependent|0.00106669765557,trail|0.00118224519983,emergent|0.000704584411733,finite|0.00140355698692,medicine|0.00141947572076
gridded|0.000801231186464,pivotal|0.000989969360804,method|0.00209579975177,coherent|0.00102821201784,behavimy|0.00100269585415,enabling|0.00123164361971,efficient|0.00276473569957,querying|0.00259795698814,intent|0.002747984244,endpoint|0.000924152767145,perceivable|0.00291165894798,row|0.00110589070019,particle|0.00271365567656,low|0.00158004854924,evaluate|0.00297525011703,drill|0.0010559872356,determining|0.00116163678254,downloaded|0.000703764904802,reconstruction|0.0014032614823,atla|0.00139029920443
function|0.000775118602711,modular|0.000972507266596,multiscale|0.00200705893384,schematic|0.00102434467694,prone|0.000990800846872,pure|0.00122366331505,histogram|0.00274491695393,maintaining|0.00257664780957,evaluation|0.00254488500125,cumbersome|0.000904486075974,intelligence|0.00283191975815,embedded|0.00107099552548,set|0.00265388051845,classic|0.00157558624639,commonly|0.00295740553736,center|0.00104852324321,isolation|0.0011543808657,java|0.000701123027284,developer|0.00138685583209,sensor|0.00132431432696
ace|0.000768522224253,getting|0.000971706577543,aesthetic|0.00200312820488,formal|0.000995011169987,add|0.000986790019567,sense|0.00121365392152,regular|0.00270059369302,application|0.00253143184502,action|0.00245447816075,anatomical|0.000868777704652,measured|0.00276949440667,premise|0.00106221767142,participant|0.00264574073025,patient|0.00151909101239,static|0.00294347033822,access|0.00103094637475,analytic|0.00113281211932,math|0.000685250957833,decomposition|0.00138587761805,human|0.00132252137529
