Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
vortex|0.0083008670876,user-defined|0.00284392190253,trend|0.0061191903825,topic|0.00628097975256,aneurysm|0.00834526583146,parameterized|0.0071746766233,3|0.00538682516339,coordination|0.00761164778982,surrounding|0.00340273452163,morphing|0.00946981254276,spatiotemporal|0.00557265405296,offer|0.00717572792778,deformable|0.00223714172491,function|0.00491670542468,modified|0.00729828381069,study|0.00645791514224,concurrent|0.00791940573179,localization|0.00282690491466,planning|0.00595690940999,selected|0.00759518774655
motion|0.00765879427006,sport|0.00251435241647,found|0.00610256509023,sparse|0.00618246632891,validation|0.00825809380558,impractical|0.00700533239989,category|0.00461654300944,increase|0.00754971145846,aggregate|0.00314958668274,accommodate|0.00896927629923,analyst|0.00522064151821,familiar|0.0071589873454,conservation|0.00194505002482,visualization|0.00485413173825,specialist|0.00690466550149,technology|0.00607777914429,calibration|0.00719882384313,saliency|0.0024547500634,light|0.0054420741138,weather|0.00756547978837
colonoscopy|0.00661186844144,side-by-side|0.00248194009032,feedback|0.00587971452389,simpler|0.00614265206751,bay|0.0074375601308,integrating|0.00689291889485,corpus|0.00364932051371,worldwide|0.00707989586567,transition|0.00306441320782,seamlessly|0.00864268852941,temporal|0.00498584756859,reasoning|0.00668902380818,reflected|0.00190841987937,graph|0.00472146068646,routing|0.00685473600467,cardiac|0.00602831671176,light|0.00714733748285,crystal|0.00240933580929,disease|0.00531252702135,fuzzy|0.00753589486334
medical|0.00646821996844,text|0.00242380901489,state|0.00547106286798,partial|0.00599994720694,evolved|0.00737247102648,consequently|0.00685902084537,item|0.00307957233776,integrate|0.00562410083625,statistic|0.00299052874506,dominant|0.00850860920198,story|0.00390202394241,inspection|0.00667858433865,rationale|0.00187364885949,illumination|0.0044827497097,treatment|0.0068022094209,vium|0.00564839075904,keyframe|0.00692265439221,revealing|0.00220897937283,determine|0.00495116794367,incorporate|0.00732024692436
evaluating|0.00613535529983,multimedium|0.00210814425447,assessment|0.00518978370795,employ|0.00591911708193,diagnosi|0.00626875921388,video|0.00669033438013,workload|0.00294707592908,extensive|0.00554757852456,biology|0.00282514354041,directed|0.00780349968812,invariant|0.00374693690505,confirm|0.00665086065262,occurring|0.0018280921126,method|0.00430179837575,enabled|0.00651499451956,toolkit|0.00553932199874,motivate|0.00635129649148,maker|0.00194770143582,output|0.00492571861902,consuming|0.00726714057777
extraction|0.00599494345761,significance|0.00209544748677,behavior|0.00506913230102,pronounced|0.00582378118219,exhibit|0.00617933708655,heart|0.00666717897224,correlated|0.0027524770912,linking|0.00539119501604,recommendation|0.00272957872695,insensitive|0.00777600890136,place|0.00372837694397,len|0.00651833884357,lake|0.00181935758553,application|0.00422500481079,purpose|0.00649095330724,macro|0.00501062496046,negligible|0.00623289506713,analyst|0.00193320414317,wall|0.00489026629099,peripheral|0.00673990234216
tessellation|0.00597710608685,coverage|0.00183675151818,study|0.00502184871075,recover|0.00580866973398,scalable|0.00614675050427,forward|0.00661466382953,voronous|0.00271417728639,employing|0.00532868211367,descriptor|0.00249813472379,exponential|0.00724095445332,health|0.00362246416412,entity|0.00650462556623,discriminant|0.00162928997556,(computer|0.00419010699682,semi-automatic|0.00637988022304,integrate|0.00499872917885,active|0.00622657809429,haptic|0.00188155374999,orientation|0.00469054600177,patient-specific|0.00666042531286
manipulation|0.005954600726,compelling|0.00183154262722,mathematical|0.00480212888102,operator|0.00551903549879,offer|0.00494356519983,temporal|0.00637167339268,data-driven|0.00261745352767,conducted|0.0049112091104,bank|0.00235500641787,euclidean|0.00696734447009,narrative|0.00326149579691,whether|0.00605258119435,declarative|0.0015906410234,graphics)|0.00419010699682,extinction|0.00634609499424,published|0.0049611035652,40|0.00622340772693,liquid|0.00181370376408,serve|0.00445467209166,determination|0.006426364972
path|0.0054376756171,update|0.00177091439165,offer|0.0047798888796,conflicting|0.0054523903656,blood|0.00437963386123,classified|0.00615403077676,association|0.00229884961557,purpose|0.00475924736323,education|0.00224533859494,whose|0.00663177739976,conjunction|0.00307509790807,glyph|0.00589637252172,cellular|0.00158456055871,dataset|0.00398325479248,back|0.00618239038271,however|0.00461060238733,ranging|0.00502284759867,five|0.00179632570564,focu|0.00440117543062,encountered|0.00629561811078
pc-mrus|0.00543253625747,metadatum|0.00174534134909,different|0.00471574034109,preintegrated|0.00540857599569,lattice|0.00354578183663,avoid|0.0061106816197,manually|0.00223546862814,—|0.00376134084134,reporting|0.00213891566976,followed|0.00597821670261,allowed|0.00301278257203,participant|0.00585608555949,fluorescence|0.00157287726891,structure|0.00384077578047,collaboration|0.00596156776632,user's|0.00440656696317,article|0.00438663825409,interpolate|0.00179436595585,square|0.00437010419855,soft|0.00627646307439
sweep|0.00540414771756,slow|0.00167230702297,multi-variate|0.00443328455208,source|0.00537565938734,specification|0.00321568502824,alternatively|0.00600088900815,spatial|0.00214021724778,illumination|0.00347109828997,contextual|0.00208745541882,node-link|0.00521586093669,expert|0.00286208969735,out-of-core|0.00583240912924,12|0.00156546664565,transfer|0.00372486709799,integrating|0.00557032384718,delivering|0.00435095170778,city|0.00354683012697,purely|0.00173361767094,split|0.00433350529291,hard|0.00608034777112
particle|0.0053957547895,argument|0.00165573148794,vast|0.00425477586006,percentage|0.00511052196139,length|0.00309014632304,challenging|0.00556634530348,adjusting|0.00211021672507,provenance|0.00315790797,topic|0.0019710626465,population|0.00362324592273,customer|0.00272102456589,immersive|0.00566704244363,trying|0.00148535503958,image|0.00369734232591,histogram|0.00510645200802,artery|0.00434103740356,tensor|0.00298262699191,guideline|0.00172381162245,dimensional|0.00432978767133,gaining|0.00593403810419
movement|0.00516711158808,course|0.00160544005075,colored|0.00425096968972,encoding|0.00490533733816,lower|0.0030757251783,gap|0.0055235103708,compound|0.00195767706712,financial|0.00294510187939,illustrating|0.00187293773664,artificial|0.00259073043587,numerou|0.00268281488756,resolution|0.00553755323648,reaction|0.00142444398255,approach|0.00368642744128,specification|0.00494849296758,chose|0.00427512499572,connected|0.00254759179155,feasibility|0.00167790927301,movement|0.00429864062857,defect|0.00586901993803
field|0.0049370775954,rhetorical|0.00159403059549,skeleton|0.00408473046073,abstract|0.00471679959139,seismic|0.00284946359027,reporting|0.00541946210232,interplay|0.0019223585816,built|0.00294492663875,psychology|0.00184123027709,embedding|0.00255561237292,succes|0.00261709084271,close|0.00487404386444,grown|0.00128843646299,enable|0.00364840389686,taxonomy|0.0045416014272,walking|0.00424074578659,target|0.0025296057414,initially|0.00165329444067,combination|0.00425733343249,sdk|0.00553671017817
lagrangian|0.00491883586987,respectively|0.00155820404071,aliasing|0.00407030897449,average|0.00453111009433,news|0.00275708861756,smoothing|0.00538679684882,cartogram|0.00191688742612,abstraction|0.00288324602647,analyst|0.00183552142929,view-dependent|0.00247044228807,prior|0.00250686536981,cad|0.00463010145675,started|0.00126765604615,domain|0.00364558430273,kind|0.00404368226228,system|0.00421295125066,surface|0.00251518765763,impossible|0.00149356899086,display|0.0042550416642,segmented|0.00533494472393
denoising|0.0048094148454,management|0.00152964670562,noise|0.00405990730387,contrast|0.00446032409799,turn|0.00244422562542,reflect|0.0052358120959,mining|0.00191435074968,intelligence|0.00284630655139,medial|0.00179568768637,perceived|0.00247018708354,statistic|0.00243455240713,2|0.00436749246831,driver|0.00119886059478,scale|0.00353298448032,entry|0.00332690578173,mature|0.00419158238562,mesh|0.00249716400557,defect|0.00139022894597,effectively|0.00412380158585,intervention|0.00504941895189
generation|0.00453631264862,published|0.00147714002921,imply|0.00405403948967,independent|0.00441980456882,biologist|0.00242637514518,uncertainty|0.00510975514776,ecosystem|0.00190592713288,browser|0.00257573248297,corpu|0.00176162226624,fashion|0.00242663317725,octree|0.00210043220258,4|0.0043603979475,steer|0.00118422527637,volumetric|0.00352913982568,source|0.00328168466972,reshaping|0.00415627416949,shading|0.00229043249149,cloud|0.00136357641246,indistinguishable|0.00408996895817,aim|0.0049696766807
vector|0.00442832005034,embed|0.0014665273284,game|0.00401096527266,consistently|0.00438442328122,sharing|0.00224193276853,evaluation|0.00475755349955,examination|0.00186421537371,event|0.0024779167636,axi|0.00169283775781,focu|0.00237501181081,organizational|0.00194459187332,finally|0.00433725342124,large-scale|0.00118235511889,present|0.00335145597308,interface|0.00275087521843,in-place|0.0040522384764,aim|0.0022873266423,lc|0.00134328554957,workspace|0.00405341334286,acros|0.00464975407328
collision|0.00438020782186,detail-on-demand|0.00137837094908,furthermore|0.00393420175522,analytical|0.00394160467717,text|0.00220861863317,investigation|0.00454571522135,assessment|0.00185731124029,document|0.00239120931944,feature-based|0.00164300713172,triangle|0.0021904266278,hypothesi|0.00186238331863,f+c|0.00408251689529,translating|0.00116359228302,interactive|0.00332736764208,bar|0.00274178788319,provide|0.00402828917518,parameterization|0.00225169535527,maximal|0.00133615682682,essential|0.00403449462576,optical|0.00420052438795
different|0.00436909492872,red|0.00135301603909,critical|0.00385678636951,marching|0.00393300066663,foundation|0.00207920179157,six|0.0045100080211,briefly|0.00180365860394,member|0.0023592028382,observational|0.00154679538013,road|0.00208725373264,academic|0.00185682870917,tensor|0.00382202553141,evolution|0.00115724012053,community|0.00331020220705,reality|0.0026635619672,display|0.00393005065437,urban|0.00213420472982,twelve|0.00121198378978,multidimensional|0.00400390787488,desired|0.00417916950019
curved|0.00436601254454,report|0.00133915134549,goal|0.00384752748013,indicate|0.00364638752619,bia|0.00200458257971,1997|0.00448463104386,thorough|0.00171098051276,total|0.00230002900187,showing|0.00152305241,actor|0.00193700260998,characterize|0.00182528548343,graphical|0.00362113031099,go|0.00111182531451,system|0.00323972079881,table|0.00263895723043,evidence|0.00386322681235,viewed|0.0021115897779,ca|0.00117056519056,controlled|0.00398448036446,interface|0.00379864263266
4d|0.00424910986952,tournament|0.00129604343771,importance|0.00370238064722,combined|0.00313162905561,piece|0.00180966724792,experience|0.00447080738567,subtle|0.00168309536421,internet|0.00211840862618,document|0.00151782652409,delaunay|0.00189675281297,similarly|0.00178986556104,study|0.00345181883177,perceived|0.00107540438418,biomedical|0.00323956939946,density|0.00262503113494,currently|0.00386236929799,interval|0.00210300360993,apparent|0.00116448497762,phase|0.00370676045533,mining|0.00375882103396
virtual|0.0041942753957,query|0.00127925596658,medical|0.00362216235746,viewpoint|0.00309078541706,selected|0.0017420640725,study|0.00418406634703,tackle|0.0016726131367,lower|0.00211530952869,inherently|0.00148022457807,university|0.0018274041126,outbreak|0.00176142026978,science|0.00340684041533,board|0.00102816950879,field|0.00322361796549,attenuation|0.00249720150238,examine|0.00370305364831,focu|0.00202753559893,anatomic|0.00115988492887,support|0.00366185261499,time-series|0.00361265685922
extensive|0.00413652248618,assistant|0.00127778184423,correlation|0.00361025754521,condition|0.00309008221183,home|0.00170545123843,event|0.00403517078716,summarization|0.00166679840937,thinking|0.00211304010135,discussion|0.00147887775208,synchronization|0.00175718641182,sketch|0.00175997772675,eye|0.00335863007259,fine|0.00101152796662,tool|0.00315433599035,guidance|0.0024141391285,pose|0.00369484290381,setup|0.00197575997645,devoted|0.0011337770031,interesting|0.00363517199426,discovery|0.00325615616825
spatial|0.00411893584797,databasis|0.00126351720915,detected|0.00351527186936,different|0.00300731876624,source|0.00169332810122,systematic|0.00344065039044,deep|0.0015765885353,sequential|0.00207904076317,g|0.00146401549162,news|0.00169343120077,scan|0.00174209734352,perception|0.0030706512229,expectation|0.000930996474258,approximation|0.00312296620842,prediction|0.00224296751401,monitoring|0.00362500744335,b|0.00192294355207,texture|0.00112895574154,knowledge|0.0036280777114,web|0.00319768962272
device|0.00411101416351,explorative|0.00125637336131,shape|0.00345135370682,temporal|0.00294743156058,verify|0.00162936881764,knowledge|0.00325883836091,shear|0.00157228607273,management|0.00202113099073,concise|0.00142909863186,scenario|0.00168442563838,som|0.00173650035309,implication|0.00303868737512,supplied|0.000897362559684,cluster|0.00307179048073,deal|0.00210595053201,report|0.00361897095679,state|0.00190020710987,nematic|0.0011184208762,brain|0.00355038064074,focus+context|0.00316178731914
selection|0.00409970046554,16|0.00125233429245,refined|0.003439119886,symmetry|0.0029056621224,species|0.00151654474375,identification|0.00287433392432,geographically|0.0015414649183,wikipedium|0.0019648796661,verification|0.00142106823716,subset|0.00165719666077,left|0.00173239011506,ordering|0.003002989227,album|0.000871159008623,3d|0.00306824521889,continuou|0.00201412764804,driven|0.00360520939666,well-known|0.00180371692081,globally|0.00110034522939,specific|0.0035493392283,functionality|0.00313530358633
method|0.0039153711631,thematic|0.00124712790825,however|0.00343704317545,attention|0.00283936522149,medium|0.00151320117153,streak|0.002840053938,explicit|0.00150654499351,2010|0.00195701271531,carry|0.00140756132319,systematically|0.00164386143232,debugging|0.0017132495564,abstract|0.00289874306427,employ|0.000864055063307,interaction|0.00306563341086,len|0.00198119130759,simply|0.00360364237393,cut|0.00170002511583,compilation|0.00109485116101,larger|0.00350369924381,contest|0.00304953506403
objective|0.00383086698789,diagram|0.00122316642378,day|0.00340937644346,lighting|0.00271336285007,interpretation|0.00146297925776,analytic|0.00261744585628,half|0.00147124323782,diverse|0.00193844103739,turk|0.00124611034512,fragment|0.00162970178464,exploratory|0.00168556616314,focu|0.00289175015373,textural|0.000804757301651,step|0.00300448317032,preference|0.00197976283734,comparison|0.00357061836408,diffusion|0.00159603149329,freely|0.0010532608455,event|0.0034930334399,candidate|0.00304634224521
polymer|0.00373920634369,biography|0.00119589202808,complement|0.00339588881438,facet|0.00270895973187,open|0.0014140268732,captured|0.00259860353497,bounding|0.00146129672255,desirable|0.00178681557389,perceive|0.00124381356045,unexpected|0.00161452081948,diverse|0.00167087303029,textual|0.00274692164228,emergent|0.00078196495854,flow|0.00294580936062,worked|0.00195262922994,context-aware|0.00357023882599,rendering|0.00157446785549,nucleu|0.00103605060434,head|0.00344508957908,vast|0.00298555633513
sampling|0.00372399018622,modification|0.00117447286564,regular|0.00337174086273,variant|0.00258661442811,log|0.00140223779032,uncertain|0.00254566670625,document|0.00143896260334,researcher|0.00173270438835,inspect|0.00124161107786,guarantee|0.00160226765244,host|0.00166642067551,design|0.0027213261506,twenty|0.000770045524534,set|0.00288841984281,expertise|0.00188521855878,learned|0.00352337201749,finite|0.00154835625486,dt-mrus|0.000978181267352,shading|0.00338153567923,web-based|0.00270840442437
respect|0.00371790538918,high-level|0.00114104254805,initiation|0.00329884248649,classifier|0.00255364080623,peak|0.00139079924234,analysi|0.00250404825989,polar|0.00142336919177,evolutionary|0.00172417622601,portal|0.00123860680812,strip|0.00157335701679,transaction|0.00165138010092,benefit|0.00252553361955,collaborated|0.000760859978561,high|0.0028829415918,instance|0.00184138866669,direct|0.00350184281364,distribution|0.00150232556008,evaluated|0.000972860301493,biopsy|0.00335868674755,search|0.00263360111116
finite|0.0036422941972,microsoft|0.00111287237147,crack|0.0032624552188,controlled|0.00248663417992,thread|0.00133293549514,support|0.00246861059381,stereoscopic|0.00139847463318,low-dimensional|0.00171381160849,outside|0.00119802639101,simplification|0.00149482079301,inference|0.00159044190836,performance|0.00245267904339,accelerator|0.000757249742758,existing|0.00287946275793,namely|0.00178876889666,needed|0.00348332447437,orientation|0.00149769509223,place|0.000965007991536,providing|0.00333164247995,organize|0.00257983008057
direction|0.00362794123861,island|0.0010996188091,preserve|0.00322928038985,gaussian|0.00244671088661,asynchronou|0.00133254162462,custom|0.00243668080495,iv|0.00125769079023,activity|0.00170215954109,24|0.00119165817846,variability|0.0014917528369,cartography|0.0015896910603,1|0.00242023990034,postprocessing|0.00074150180476,multivariate|0.00287080475277,ever|0.00175481285655,solver|0.00348302760988,smoothly|0.00149485374485,science|0.000949123834946,lower|0.00331961562646,working|0.00249926907442
direct|0.00358870439558,service|0.00109611060954,little|0.00316713693095,classification|0.00244510809044,molecular|0.00130409521646,prototype|0.00243429322446,endoscopic|0.00124242435718,optimal|0.00166305763176,encoding|0.00116680375074,processed|0.00146088877043,utility|0.00152201339606,heuristic|0.00229544504881,scheduling|0.000712339617228,animation|0.00285963679931,top|0.0017120997514,comprising|0.0034618845589,follow|0.00148723295876,mainly|0.000937143307412,neuroscientist|0.00330936081393,3|0.00239310063176
predicate|0.00355654500003,workflow|0.00109099424284,definition|0.00314150035787,reduction|0.00239083819528,degenerate|0.00127927986197,guided|0.00241736364789,resemble|0.00120863741472,begin|0.00165141570916,bundled|0.00114490171133,density|0.00144045780723,hypothesis|0.00150715517356,display|0.00228935161166,sunflower|0.000670143515694,global|0.00285886941174,different|0.00165181497729,diagnosi|0.00342217677448,observe|0.00147902651399,valued|0.000912366992319,collaborator|0.00327505444234,often|0.00235688484479
sparse|0.00348434544306,comparison|0.0010769577004,curf|0.00310948105674,currently|0.00235606273048,web|0.00121225409006,investigative|0.00236583057126,packing|0.00120452197615,tool|0.00164632376604,perception|0.00112004627242,competing|0.00144021621828,record|0.00150308075615,different|0.00228390110433,america|0.000650344079242,pore|0.00284567535607,view|0.00162154063553,serve|0.00340412735041,constrained|0.00147413387506,manager|0.000900138479616,gesture|0.00323475308993,2|0.0022207095768
infeasible|0.00348201387081,index|0.00107633610694,containing|0.00306837660127,structural|0.00230874015108,clickstream|0.00118397937095,task|0.00228985721417,picking|0.00119887466677,discovery|0.00164136954085,technology|0.00107844920924,law|0.00141623601735,largest|0.00149517874623,landscape|0.00228130774976,expandable|0.000646234758524,also|0.00284496647457,last|0.0015976960884,mental|0.00338656787358,precision|0.00144183744918,traverse|0.000897015277262,evolution|0.00323348566794,though|0.00219916746444
appropriately|0.00341735412283,whose|0.00106878790101,partially|0.0030551197972,validate|0.00229740642985,avoided|0.00115049929617,goal|0.00221862485651,implicitly|0.0011706701278,information|0.00159926206351,plume|0.00105475313323,indicating|0.00139455949273,out-of-core|0.00142233808407,metaphor|0.0022207594851,telecommunication|0.000628509792241,individual|0.00284344824814,decade|0.00158597265703,lesson|0.00337354216052,specific|0.00142767783279,microscopic|0.00088405315538,reading|0.00319853399585,planning|0.00219072474313
effort|0.00338587713924,warm|0.00103659494276,object|0.00297934487016,analytic|0.00226849050937,resolving|0.00111599200762,supporting|0.002187446846,implication|0.00116656263142,aim|0.00155160089176,replacing|0.00100089708477,footprint|0.00138264045817,marketing|0.00141758366623,behavior|0.00216822882594,debugger|0.000577952981726,using|0.00284100510367,augmented|0.00157240381954,capability|0.00337065830128,gp|0.00139902620796,communicate|0.000879629326555,clinical|0.00318636161658,predicting|0.00216015771583
artery|0.00336153028439,pen|0.00102826885966,art|0.00297368275596,spatial|0.00211391666799,identification|0.00109385827505,scatter|0.00214931218519,contaminant|0.00113003291289,cluster|0.00154044970484,constrain|0.00097696477881,coordination|0.00134340270754,communicating|0.00139209554121,management|0.00215568300573,choice|0.00057566817359,display|0.00283724364197,type|0.00155200520164,support|0.00336819245042,desired|0.00136900490129,adopted|0.000864434097584,restricting|0.00317742682217,showing|0.00201304823705
shape|0.00334456381033,terrain|0.001012385854,align|0.00293193623074,camera|0.00204383391865,reveal|0.00109080956762,usability|0.00214816385854,acros|0.00112508354741,category|0.00153729498479,surveillance|0.000974188928384,influenced|0.00132422391834,log|0.00137782293223,task|0.00213231819825,bernstein-bezier|0.000560557687594,modeling|0.00283089906836,examine|0.00152108086557,commonly|0.00335642170561,focal|0.00134865165293,execute|0.000841392261669,guide|0.00316347216264,option|0.0019878658896
advance|0.00332771164285,width|0.000994633688693,graphics)|0.00290116321369,picture|0.00202808452623,cerebral|0.00107905967978,search|0.00212604394656,accommodate|0.00111372617608,bead|0.00150024182359,collaboration|0.000970158600825,item|0.00130529835349,prevent|0.0013453093794,involf|0.00200742539674,statistical|0.000553443095901,large|0.00282973519972,specific|0.00149818821429,analysis|0.00334385059119,so-called|0.00130287427672,pre-defined|0.000826357598345,transparent|0.00315957826766,built|0.00196556097174
usually|0.00323770930203,graphic|0.000970606589773,(computer|0.00290116321369,potentially|0.00202534728008,multi-dimensional|0.00104932659266,heterogeneou|0.00209100857734,ecological|0.00106953196483,six|0.00149170132039,exposed|0.000970125121441,moved|0.00129386386049,square|0.00133276375963,site|0.00199242082563,cloth|0.000519276155838,show|0.00276229727461,alway|0.00149420697402,visual|0.00329868005868,coloring|0.00129824712702,well-suited|0.000817381003901,feel|0.00313675943631,combining|0.00183624949781
adjusted|0.00323611760473,dedicated|0.000965047739794,surface|0.00289842702528,occlusion|0.00192667420053,analysi|0.0010374579422,design|0.00205952558058,linked|0.00106060512503,relevant|0.00148853629259,remote|0.000958401430348,drawn|0.00126676898521,wish|0.00131125729853,considered|0.00193417497883,chemical|0.000518546249266,novel|0.00276000416658,system|0.00149076165788,registration|0.00328975910318,framework|0.00127953469795,suggestive|0.000809154297291,ocean|0.00312036226716,phone|0.00180075108885
flame|0.00319133913067,predominantly|0.000962106104269,color|0.00289662205848,however|0.00190974060136,tracking|0.00100902443542,specific|0.00204969529776,marker|0.00103277777937,person|0.00148512027293,reconstructing|0.000946337914569,subtree|0.00126046424569,organizing|0.00130095158508,item|0.00187793235278,recreate|0.000515220786305,algorithm|0.00272272492275,drawn|0.00146741424447,information|0.00328506434466,hybrid|0.00125910023526,deal|0.00080271187744,blobby|0.0030972489022,evaluation|0.00175064677323
capturing|0.00316351503809,science|0.000961394401649,successive|0.00281906223127,study|0.00190874458914,commercial|0.000980025263407,wa|0.00189887714128,focus|0.00101754198194,goal|0.00148138532033,psychophysic|0.000936745039062,embodied|0.00123802217593,necessarily|0.00128975852624,significant|0.0018745484193,vendor|0.00051081322304,ambient|0.00271180076675,cell|0.00146410017351,knowledge|0.00328462410727,defined|0.00124601699111,clean|0.000802446405761,great|0.00308689767147,2005|0.00174950387881
reliable|0.00307593019218,wa|0.000954651595277,intended|0.00279111465821,mining|0.00186867611972,back|0.00096422607028,observed|0.00186658598701,connection|0.000952111643144,user|0.00144831493967,iconic|0.000936739976448,five|0.00123332335369,gained|0.00127655812966,organization|0.00187081404434,deformation|0.000510780912493,performance|0.00270806900941,investigation|0.00144980615736,analysi|0.00328304754244,algorithm|0.00121517345647,estimate|0.000802270724952,3d|0.00307336068759,topic|0.00173506296276
partition|0.00295968102754,sql|0.000944505356923,discussion|0.00278981415656,texture-based|0.00182572074135,tensor|0.000960396112986,utility|0.0018418398253,cooperative|0.000946657723351,signal|0.00143403616295,assessed|0.000936618763565,operate|0.00120120608119,profile|0.00123734712327,exhibit|0.00186767466936,methodology|0.00050812963099,scientific|0.00269054081728,selected|0.00144549126547,accurately|0.00325823386375,positioning|0.00121142206688,degrade|0.000756756372798,scenario|0.00305650026311,tabular|0.0016500926001
