Paper ID,Paper Title,Abstract,Keywords,starting page,page range,Author 1: First Name,Author 1: Surname,Author 1: Affiliation,Author 2: First Name,Author 2: Surname,Author 2: Affiliation,Author 3: First Name,Author 3: Surname,Author 3: Affiliation,Author 4: First Name,Author 4: Surname,Author 4: Affiliation,Author 5: First Name,Author 5: Surname,Author 5: Affiliation,Author 6: First Name,Author 6: Surname,Author 6: Affiliation,Author 7: First Name,Author 7: Surname,Author 7: Affiliation,Author 8: First Name,Author 8: Surname,Author 8: Affiliation,Author 9: First Name,Author 9: Surname,Author 9: Affiliation
368,Quasi Interpolation With Voronoi Splines,"We present a quasi interpolation framework that attains the optimal approximation-order of Voronoi splines for reconstruction of volumetric data sampled on general lattices. The quasi interpolation framework of Voronoi splines provides an unbiased reconstruction method across various lattices. Therefore this framework allows us to analyze and contrast the sampling-theoretic performance of general lattices, using signal reconstruction, in an unbiased manner. Our quasi interpolation methodology is implemented as an efficient FIR filter that can be applied online or as a preprocessing step. We present visual and numerical experiments that demonstrate the improved accuracy of reconstruction across lattices, using the quasi interpolation framework.","Voronoi Spline, Quasi Interpolation, Volume Visualization, Box spline.",1832,1832-1841,Mahsa,Mirzargar,University of FLorida,Alireza,Entezari,University of Florida,,,,,,,,,,,,,,,,,,,,,
245,Topological Spines: A Structure-preserving Visual Representation of Scalar Fields,"We present topological spines—a new visual representation that preserves the topological and geometric structure of a scalar field. This representation encodes the spatial relationships of the extrema of a scalar field together with the local volume and nesting structure of the surrounding contours. Unlike other topological representations, such as contour trees, our approach preserves the local geometric structure of the scalar field, including structural cycles that are useful for exposing symmetries in the data. To obtain this representation, we describe a novel mechanism based on the extraction of extremum graphs—sparse subsets of the Morse-Smale complex that retain the important structural information without the clutter and occlusion problems that arise from visualizing the entire complex directly. Extremum graphs form a natural multiresolution structure that allows the user to suppress noise and enhance topological features via the specification of a persistence range. Applications of our approach include the visualization of 3D scalar fields without occlusion artifacts, and the exploratory analysis of high-dimensional functions.","Scalar field topology, topological spine, extremum graph, Morse-Smale complex.",1842,1842-1851,Carlos,Correa,Lawrence Livermore National Lab,Peter,Lindstrom,Lawrence Livermore National Lab,Peer-Timo,Bremer,Lawrence Livermore National Lab,,,,,,,,,,,,,,,,,,
246,Towards Robust Topology of Sparsely Sampled Data,"Sparse, irregular sampling is becoming a necessity for reconstructing large and high-dimensional signals. However, the analysis of this type of data remains a challenge. One issue is the robust selection of neighborhoods — a crucial part of analytic tools such as topological decomposition, clustering and gradient estimation. When extracting the topology of sparsely sampled data, common neighborhood strategies such as k-nearest neighbors may lead to inaccurate results, either due to missing neighborhood connections, which introduce false extrema, or due to spurious connections, which conceal true extrema. Other neighborhoods, such as the Delaunay triangulation, are costly to compute and store even in relatively low dimensions. In this paper, we address these issues. We present two new types of neighborhood graphs: a variation on and a generalization of empty region graphs, which considerably improve the robustness of neighborhood-based analysis tools, such as topological decomposition. Our findings suggest that these neighborhood graphs lead to more accurate topological representations of low- and high- dimensional data sets at relatively low cost, both in terms of storage and computation time. We describe the implications of our work in the analysis and visualization of scalar functions, and provide general strategies for computing and applying our neighborhood graphs towards robust data analysis.","Neighborhood graphs, topology, sparsely sampled data.",1852,1852-1861,Carlos,Correa,Lawrence Livermore National Lab,Peter,Lindstrom,Lawrence Livermore National Lab,,,,,,,,,,,,,,,,,,,,,
378,Visualization of AMR Data With Multi-Level Dual-Mesh Interpolation,"We present a new technique for providing interpolation within cell-centered Adaptive Mesh Refinement (AMR) data that achieves C0 continuity throughout the 3D domain. Our technique improves on earlier work in that it does not require that adjacent patches differ by at most one refinement level. Our approach takes the dual of each mesh patch and generates""stitching cells"" on the fly to fill the gaps between dual meshes. We demonstrate applications of our technique with data from Enzo, an AMR cosmological structure formation simulation code. We show ray-cast visualizations that include contributions from particle data (dark matter and stars, also output by Enzo) and gridded hydrodynamic data. We also show results from isosurface studies, including surfaces in regions where adjacent patches differ by more than one refinement level.","Adaptive mesh refinement, AMR, Enzo, interpolation, ray casting, isosurfaces, dual meshes, stitching cells.",1862,1862-1871,Patrick,Moran,NASA Ames Research Center,David,Ellsworth,"Computer Sciences Corporation, NASA Ames Research Center",,,,,,,,,,,,,,,,,,,,,
238,Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,"Flood disasters are the most common natural risk and tremendous efforts are spent to improve their simulation and management. However, simulation-based investigation of actions that can be taken in case of flood emergencies is rarely done. This is in part due to the lack of a comprehensive framework which integrates and facilitates these efforts. In this paper, we tackle several problems which are related to steering a flood simulation. One issue is related to uncertainty. We need to account for uncertain knowledge about the environment, such as levee-breach locations. Furthermore, the steering process has to reveal how these uncertainties in the boundary conditions affect the confidence in the simulation outcome. Another important problem is that the simulation setup is often hidden in a black-box. We expose system internals and show that simulation steering can be comprehensible at the same time. This is important because the domain expert needs to be able to modify the simulation setup in order to include local knowledge and experience. In the proposed solution, users steer parameter studies through the World Lines interface to account for input uncertainties. The transport of steering information to the underlying data-flow components is handled by a novel meta-flow. The meta-flow is an extension to a standard data-flow network, comprising additional nodes and ropes to abstract parameter control. The meta-flow has a visual representation to inform the user about which control operations happen. Finally, we present the idea to use the data-flow diagram itself for visualizing steering information and simulation results. We discuss a case-study in collaboration with a domain expert who proposes different actions to protect a virtual city from imminent flooding. The key to choosing the best response strategy is the ability to compare different regions of the parameter space while retaining an understanding of what is happening inside the data-flow system. We present an interactive visual analysis approach for the evaluation of multi-parameter fluorescence microscopy data in toponomics. Multiple, linked views facilitate the definition of features by brushing multiple dimensions. The feature specification result is linked to all views establishing a focus+context visualization in 3D. In a new attribute view, we integrate techniques from graph visualization. Each node in the graph represents an affinity reagent while each edge represents two co-occurring affinity reagent bindings. The graph visualization is enhanced by glyphs which encode specific properties of the binding. The graph view is equipped with brushing facilities. By brushing in the spatial and attribute domain, the biologist achieves a better understanding of the function protein patterns of a cell. Furthermore, an interactive table view is integrated which summarizes unique fluorescence patterns. We discuss our approach with respect to a cell probe containing lymphocytes and a prostate tissue section.","Emergency/Disaster Management, Visual Knowledge Discovery, Visualization System and Toolkit Design, Data-Flow,
Meta-Flow, Parameter Study, Uncertainty, Visualization of Control.",1872,1872-1881,Jürgen,Waser,VRVis Vienna,Hrvoje,Ribi_i_,VRVis Vienna,Raphael,Fuchs,ETH Zürich,Christian,Hirsch,VRVis Vienna,Benjamin,Schindler,ETH Zürich,Günther,Blöschl,TU Vienna,Eduard,Gröller,TU Vienna,,,,,,
186,"Interactive, Graph-based Visual Analysis of High-dimensional, Multi-parameter Fluorescence Microscopy Data in Toponomics","In Toponomics, the function protein pattern in cells or tissue (the toponome) is imaged and analyzed for applications in toxicology, new drug development and patient-drug-interaction. The most advanced imaging technique is robot-driven multi-parameter fluorescence microscopy. This technique is capable of co-mapping hundreds of proteins and their distribution and assembly in protein clusters across a cell or tissue sample by running cycles of fluorescence tagging with monoclonal antibodies or other affinity reagents, imaging, and bleaching in situ. The imaging results in complex multi-parameter data composed of one slice or a 3D volume per affinity reagent. Biologists are particularly interested in the localization of co-occurring proteins, the frequency of co-occurrence and the distribution of co-occurring proteins across the cell.","Visual Analytics, Fluorescence Microscopy, Toponomics, Protein Interaction, Graph Visualization.",1882,1882-1891,Steffen,Oeltze,Otto-von-Guericke Universität Magdeburg,Wolfgang,Freiler,"SimVis GmbH, Vienna",Helmut,Doleisch,"SimVis GmbH, Vienna",Reyk,Hillert,Otto-von-Guericke Universität Magdeburg,Bernhard,Preim,Otto-von-Guericke Universität Magdeburg,Walter,Schubert,Otto-von-Guericke Universität Magdeburg,,,,,,,,,
390,Tuner: Principled Parameter Finding for Image Segmentation Algorithms Using Visual Response Surface Exploration,"In this paper we address the difficult problem of parameter-finding in image segmentation. We replace a tedious manual process that is often based on guess-work and luck by a principled approach that systematically explores the parameter space. Our core idea is the following two-stage technique: We start with a sparse sampling of the parameter space and apply a statistical model to estimate the response of the segmentation algorithm. The statistical model incorporates a model of uncertainty of the estimation which we use in conjunction with the actual estimate in (visually) guiding the user towards areas that need refinement by placing additional sample points. In the second stage the user navigates through the parameter space in order to determine areas where the response value (goodness of segmentation) is high. In our exploration we rely on existing ground-truth images in order to evaluate the""goodness"" of an image segmentation technique. We evaluate its usefulness by demonstrating this technique on two image segmentation algorithms: a three parameter model to detect microtubules in electron tomograms and an eight parameter model to identify functional regions in dynamic Positron Emission Tomography scans.","Parameter exploration, Image segmentation, Gaussian Process Model.",1892,1892-1901,Thomas,Torsney-Weir,Simon Fraser University,Ahmed,Saad,Simon Fraser University,Torsten,Möller,Simon Fraser University,Hans-Christian,Hege,Zuse Institute Berlin,Britta,Weber,Zuse Institute Berlin,Jean-Marc,Verbavatz,Max Planck Institute of Molecular Cell Biology and Genetics (MPI-CBG),,,,,,,,,
358,Branching and Circular Features in High Dimensional Data,"Large observations and simulations in scientific research give rise to high-dimensional data sets that present many challenges and opportunities in data analysis and visualization. Researchers in application domains such as engineering, computational biology, climate study, imaging and motion capture are faced with the problem of how to discover compact representations of highdimensional data while preserving their intrinsic structure. In many applications, the original data is projected onto low-dimensional space via dimensionality reduction techniques prior to modeling. One problem with this approach is that the projection step in the process can fail to preserve structure in the data that is only apparent in high dimensions. Conversely, such techniques may create structural illusions in the projection, implying structure not present in the original high-dimensional data. Our solution is to utilize topological techniques to recover important structures in high-dimensional data that contains non-trivial topology. Specifically, we are interested in high-dimensional branching structures. We construct local circle-valued coordinate functions to represent such features. Subsequently, we perform dimensionality reduction on the data while ensuring such structures are visually preserved. Additionally, we study the effects of global circular structures on visualizations. Our results reveal never-before-seen structures on real-world data sets from a variety of applications.","Dimensionality reduction, circular coordinates, visualization, topological analysis.",1902,1902-1911,Bei,Wang,"SCI Institute, University of Utah",Brian,Summa,"SCI Institute, University of Utah",Valerio,Pascucci,"SCI Institute, University of Utah",Mikael,Vejdemo-Johansson,"Department of mathematics, Stanford University",,,,,,,,,,,,,,,
207,Features in Continuous Parallel Coordinates,"Continuous Parallel Coordinates (CPC) are a contemporary visualization technique in order to combine several scalar fields, given over a common domain. They facilitate a continuous view for parallel coordinates by considering a smooth scalar field instead of a finite number of straight lines. We show that there are feature curves in CPC which appear to be the dominant structures of a CPC. We present methods to extract and classify them and demonstrate their usefulness to enhance the visualization of CPCs. In particular, we show that these feature curves are related to discontinuities in Continuous Scatterplots (CSP). We show this by exploiting a curve-curve duality between parallel and Cartesian coordinates, which is a generalization of the well-known point-line duality. Furthermore, we illustrate the theoretical considerations. Concluding, we discuss relations and aspects of the CPC's/CSP's features concerning the data analysis.","Features, Parallel Coordinates, Topology, Visualization.",1912,1912-1921,Dirk J.,Lehmann,"Department of Simulation and Graphics, \ University of Magdeburg, Germany",Holger,Theisel,"Department of Simulation and Graphics, \ University of Magdeburg, Germany",,,,,,,,,,,,,,,,,,,,,
169,About the Influence of Illumination Models on Image Comprehension in Direct Volume Rendering,"In this paper, we present a user study in which we have investigated the influence of seven state-of-the-art volumetric illumination models on the spatial perception of volume rendered images. Within the study, we have compared gradient-based shading with half angle slicing, directional occlusion shading, multidirectional occlusion shading, shadow volume propagation, spherical harmonic lighting as well as dynamic ambient occlusion. To evaluate these models, users had to solve three tasks relying on correct depth as well as size perception. Our motivation for these three tasks was to find relations between the used illumination model, user accuracy and the elapsed time. In an additional task, users had to subjectively judge the output of the tested models. After first reviewing the models and their features, we will introduce the individual tasks and discuss their results. We discovered statistically significant differences in the testing performance of the techniques. Based on these findings, we have analyzed the models and extracted those features which are possibly relevant for the improved spatial comprehension in a relational task. We believe that a combination of these distinctive features could pave the way for a novel illumination model, which would be optimized based on our findings.","Volumetric illumination, volume rendering, spatial comprehension.",1922,1922-1931,Florian,Lindemann,University of Münster,Timo,Ropinski,University of Münster,,,,,,,,,,,,,,,,,,,,,
343,Automatic Transfer Functions Based on Informational Divergence,"In this paper we present a framework to define transfer functions from a target distribution provided by the user. A target distribution can reflect the data importance, or highly relevant data value interval, or spatial segmentation. Our approach is based on a communication channel between a set of viewpoints and a set of bins of a volume data set, and it supports 1D as well as 2D transfer functions including the gradient information. The transfer functions are obtained by minimizing the informational divergence or Kullback-Leibler distance between the visibility distribution captured by the viewpoints and a target distribution selected by the user. The use of the derivative of the informational divergence allows for a fast optimization process. Different target distributions for 1D and 2D transfer functions are analyzed together with importance-driven and view-based techniques.","Transfer function, Information theory, Informational divergence, Kullback-Leibler distance.",1932,1932-1941,Marc,Ruiz,University of Girona,Anton,Bardera,University of Girona,Imma,Boada,University of Girona,Ivan,Viola,University of Bergen,Miquel,Feixas,University of Girona,Mateu,Sbert,University of Girona,,,,,,,,,
346,The Effect of Colour and Transparency on the Perception of Overlaid Grids,"Overlaid reference elements need to be sufficiently visible to effectively relate to the underlying information, but not so obtrusive that they clutter the presentation. We seek to create guidelines for presenting such structures through experimental studies to define boundary conditions for visual intrusiveness. We base our work on the practice of designers, who use transparency to integrate overlaid grids with their underlying imagery. Previous work discovered a useful range of alpha values for black or white grids overlayed on scatterplot images rendered in shades of gray over gray backgrounds of different lightness values. This work compares black grids to blue and red ones on different image types of scatterplots and maps. We expected that the coloured grids over grayscale images would be more visually salient than black ones, resulting in lower alpha values. Instead, we found that there was no significant difference between the boundaries set for red and black grids, but that the boundaries for blue grids were set consistently higher (more opaque). As in our previous study, alpha values are affected by image density rather than image type, and are consistently lower than many default settings. These results have implications for the design of subtle reference structures.","Information visualization, automated presentation, applied perception, visual design, computational aesthetics.",1942,1942-1948,Lyn,Bartram,"School of Interactive  \ School of Interactive Art + Technology, Simon Fraser University",Billy,Cheung,"School of Interactive School of Interactive Art + Technology, Simon Fraser University",Maureen,Stone,"StoneSoup Consulting \ School of Interactive Art + Technology, Simon Fraser University",,,,,,,,,,,,,,,,,,
164,Flow Radar Glyphs ‚Äî Static Visualization of Unsteady Flow with Uncertainty,"A new type of glyph is introduced to visualize unsteady flow with static images, allowing easier analysis of time-dependent phenomena compared to animated visualization. Adopting the visual metaphor of radar displays, this glyph represents flow directions by angles and time by radius in spherical coordinates. Dense seeding of flow radar glyphs on the flow domain naturally lends itself to multi-scale visualization: zoomed-out views show aggregated overviews, zooming-in enables detailed analysis of spatial and temporal characteristics. Uncertainty visualization is supported by extending the glyph to display possible ranges of flow directions. The paper focuses on 2D flow, but includes a discussion of 3D flow as well. Examples from CFD and the field of stochastic hydrogeology show that it is easy to discriminate regions of different spatiotemporal flow behavior and regions of different uncertainty variations in space and time. The examples also demonstrate that parameter studies can be analyzed because the glyph design facilitates comparative visualization. Finally, different variants of interactive GPU-accelerated implementations are discussed.","Visualization, glyph, uncertainty, unsteady flow.",1949,1949-1958,Marcel,Hlawatsch,"Visualization Research Center, University of Stuttgart",Philipp,Leube,"Institute of Hydraulic Engineering (LH2), University of Stuttgart",Wolfgang,Nowak,"Institute of Hydraulic Engineering (LH2), University of Stuttgart",Daniel,Weiskopf,"Visualization Research Center, University of Stuttgart",,,,,,,,,,,,,,,
