"Paper ID"	"Paper Title"	"Abstract"	"Keywords"	"starting page"	"page range"	"Author 1: First Name"	"Author 1: Surname"	"Author 1: Affiliation"	"Author 2: First Name"	"Author 2: Surname"	"Author 2: Affiliation"	"Author 3: First Name"	"Author 3: Surname"	"Author 3: Affiliation"	"Author 4: First Name"	"Author 4: Surname"	"Author 4: Affiliation"	"Author 5: First Name"	"Author 5: Surname"	"Author 5: Affiliation"	"Author 6: First Name"	"Author 6: Surname"	"Author 6: Affiliation"	"Author 7: First Name"	"Author 7: Surname"	"Author 7: Affiliation"	"Author 8: First Name"	"Author 8: Surname"	"Author 8: Affiliation"	"Author 9: First Name"	"Author 9: Surname"	"Author 9: Affiliation"
"ttg2012122060"	"SketchPadN&#x002D;D: WYDIWYG Sculpting and Editing in High&#x002D; Dimensional Space"	"High&#x002D;dimensional data visualization has been attracting much attention. To fully test related software and algorithms, researchers require a diverse pool of data with known and desired features. Test data do not always provide this, or only partial"	"Synthetic data generation, data editing, data acquisition and management, multivariate data, high&#x002D;dimensional data, interaction, user interface, parallel coordinates, scatterplot, N&#x002D;D navigation, multiple views"	2060	"2060&#x002D;2069"	"Bing "	"Wang "	"Visual Analytics and Imaging Laboratory, Computer Science Department, Stony Brook University"	"Puripant "	"Ruchikachorn"	"Visual Analytics and Imaging Laboratory, Computer Science Department, Stony Brook University, and Chulalongkorn Business School, Chulalongkorn University"	"Klaus "	"Mueller"	"Visual Analytics and Imaging Laboratory, Computer Science Department, Stony Brook University, and SUNY Korea"																		
"ttg2012122070"	"Visual Analysis of Higher&#x002D;Order Conjunctive Relationships in Multidimensional Data Using a Hypergraph Query System"	"Visual exploration and analysis of multidimensional data becomes increasingly difficult with increasing dimensionality. We want to understand the relationships between dimensions of data, but lack flexible techniques for exploration beyond low&#x002D;orde"	"Graph search, graph query language, multidimensional data, attribute relationship graphs, multivariate data analysis, higher&#x002D;order conjunctive queries, visual query language, digital humanities"	2070	"2070&#x002D;2079"	"Rachel "	"Shadoan "	"Akashic Labs LLC"	"Chris "	"Weaver"	"School of Computer Science and the Center for Spatial Analysis at University of Oklahoma"																					
"ttg2012122080"	"Interactive Exploration of Implicit and Explicit Relations in Faceted Datasets"	"Many datasets, such as scientific literature collections, contain multiple heterogeneous facets which derive implicit relations, as well as explicit relational references between data items. The exploration of this data is challenging not only because of "	"Faceted browsing, network exploration, dynamic query, interaction, information visualization, visual analytics"	2080	"2080&#x002D;2089"	"Jian "	"Zhao "	"University of Toronto"	"Christopher "	"Collins"	"University of Ontario Institute of Technology"	"Fanny "	"Chevalier"	"University of Toronto"	"Ravin "	"Balakrishnan"		"University of Toronto"														
"ttg2012122090"	"VAICo: Visual Analysis for Image Comparison"	"Scientists, engineers, and analysts are confronted with ever larger and more complex sets of data, whose analysis poses special challenges. In many situations it is necessary to compare two or more datasets. Hence there is a need for comparative visualiza"	"Comparative visualization, focus+context visualization, image set comparison"	2090	"2090&#x002D;2099"	"Johanna "	"Schmidt "	"Vienna University of Technology"	"M. Eduard "	"Gr&#x00F6;ller"	"Vienna University of Technology"	"Stefan "	"Bruckner"	"University of Bergen"																		
"ttg2012122100"	"Open&#x002D;Box Spectral Clustering: Applications to Medical Image Analysis"	"Spectral clustering is a powerful and versatile technique, whose broad range of applications includes 3D image analysis. However, its practical use often involves a tedious and time&#x002D;consuming process of tuning parameters and making application&#x00"	"Image segmentation, spectral clustering, high&#x002D;dimensional embeddings, linked views, programming with example"	2100	"2100&#x002D;2108"	"Thomas "	"Schultz "	"University of Bonn"	"Gordon L. "	"Kindlmann"	"University of Chicago"																					
"ttg2012122109"	"Transformation of an Uncertain Video Search Pipeline to a Sketch&#x002D;based Visual Analytics Loop"	"Traditional sketch&#x002D;based image or video search systems rely on machine learning concepts as their core technology. However, in many applications, machine learning alone is impractical since videos may not be semantically annotated sufficiently, the"		2109	"2109&#x002D;2118"	"Philip A. "	"Legg"	"Department of Computer Science, Swansea University, University of Oxford"	"David H.S. "	"Chung"	"Department of Computer Science, Swansea University"	"Matthew L. "	"Parry"	"Department of Computer Science, Swansea University"	"Rhodri "	"Bown"	"Welsh Rugby Union"	"Mark W. "	"Jones"	"Department of Computer Science, Swansea University"	"Iwan W. "	"Griffiths"	"Department of Engineering, Swansea University"	"Min "	"Chen"	"e&#x002D;Research Centre, University of Oxford"						
"ttg2012122119"	"Interactive Exploration of Surveillance Video through Action Shot Summarization and Trajectory Visualization"	"We propose a novel video visual analytics system for interactive exploration of surveillance video data. Our approach consists of providing analysts with various views of information related to moving objects in a video. To do this we first extract each o"	"Video visual analytics, surveillance video, video visualization, video summarization, video browsing and exploration"	2119	"2119&#x002D;2128"	"Amir H. "	"Meghdadi"	"Department of Computer Science, University of Manitoba"	"Pourang "	"Irani"	"Department of Computer Science, University of Manitoba"																					
"ttg2012122129"	"Space&#x002D;Time Visual Analytics of Eye&#x002D;Tracking Data for Dynamic Stimuli"	"We introduce a visual analytics method to analyze eye movement data recorded for dynamic stimuli such as video or animated graphics. The focus lies on the analysis of data of several viewers to identify trends in the general viewing behavior, including ti"	"Eye&#x002D;tracking, space&#x002D;time cube, dynamic areas of interest, spatiotemporal clustering, motion&#x002D;compensated heat map"	2129	"2129&#x002D;2138"	"Kuno "	"Kurzhals "	"University of Stuttgart."	"Daniel "	"Weiskopf"	"University of Stuttgart."																					
"ttg2012122139"	"An Extensible Framework for Provenance in Human Terrain Visual Analytics"	"We describe and demonstrate an extensible framework that supports data exploration and provenance in the context of Human Terrain Analysis (HTA). Working closely with defence analysts we extract requirements and a list of features that characterise data a"		2139	"2139&#x002D;2148"	"Rick"	"Walker "	"Middlesex University"	"Aidan"	"Slingsby"	"City University"	"Jason"	"Dykes"	"City University"	"Kai"	"Xu"	"Middlesex University"	"Jo"	"Wood"	"City University"	"Phong H."	"Nguyen"	"Middlesex University"	"Derek"	"Stephens"	"Loughborough University"	"B.L. William"	"Wong"	"Middlesex University"	"Yongjun"	"Zheng"	"Middlesex University"
"ttg2012122149"	"Visual Exploration of Big Spatio&#x002D;Temporal Urban Data: A Study of New York City Taxi Trips"	"As increasing volumes of urban data are captured and become available, new opportunities arise for data&#x002D;driven analysis that can lead to improvements in the lives of citizens through evidence&#x002D;based decision making and policies. In this paper"	"Spatio&#x002D;temporal queries, urban data, NYC taxis, visual exploration"	2149	"2149&#x002D;2158"	"Nivan "	"Ferreira "	"NYU Poly"	"Jorge "	"Poco"	"NYU Poly"	"Huy T. "	"Vo"	"NYU CUSP"	"Juliana "	"Freire"	"NYU Poly"	"Clﾇudio T. "	"Silva"	"NYU Poly and NYU CUSP"												
"ttg2012122159"	"Visual Traffic Jam Analysis based on Trajectory Data"	"In this work, we present an interactive system for visual analysis of urban traffic congestion based on GPS trajectories. For these trajectories we develop strategies to extract and derive traffic jam information. After cleaning the trajectories, they are"	"Traffic visualization, traffic jam propagation"	2159	"2159&#x002D;2168"	"Zuchao "	"Wang "	"Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University"	"Min "	"Lu"	"Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University, and Center for Computational Science and Engineering, Peking University"	"Xiaoru "	"Yuan"	"Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University, and Center for Computational Science and Engineering, Peking University"	"Junping "	"Zhang"	"Shanghai Key Laboratory of Intelligent Information Processing, and School of Computer Science, Fudan University"	"Huub van de "	"Wetering"	"Department of Mathematics and Computer Science, Technische Universiteit Eindhoven"												
"ttg2012122169"	"Space Transformation for Understanding Group Movement"	"We suggest a methodology for analyzing movement behaviors of individuals moving in a group. Group movement is analyzed at two levels of granularity: the group as a whole and the individuals it comprises. For analyzing the relative positions and movements "	"Visual analytics, movement data, collective movement"	2169	"2169&#x002D;2178"	"N. "	"Andrienko"	"Fraunhofer Institute IAIS"	"G. "	"Andrienko"	"Fraunhofer Institute IAIS"	"L."	"Barrett"	"University of Lethbridge and University of South Africa"	"M."	"Dostie"	"University of Lethbridge and University of South Africa"	"S.P."	"Henzi"	"University of Lethbridge and University of South Africa"												
"ttg2012122179"	"Visual Analytics for Spatial Clustering: Using a Heuristic Approach for Guided Exploration"	"We propose a novel approach of distance&#x002D;based spatial clustering and contribute a heuristic computation of input parameters for guiding users in the search of interesting cluster constellations. We thereby combine computational geometry with intera"	"Heuristic&#x002D;based spatial clustering,iInteractive visual clustering, k&#x002D;order a&#x002D;(alpha)&#x002D;shapes"	2179	"2179&#x002D;2188"	"Eli "	"Packer "	"IBM Research &#x2013; Haifa / Israel, Smarter Decision Solutions Group"	"Peter "	"Bak"	"IBM Research &#x2013; Haifa / Israel, Smarter Decision Solutions Group"	"Mikko "	"Nikkil&#x00E4;"	"Helsinki Institute for Information Technology, Computer Science Department, University of Helsinki, Finland"	"Valentin "	"Polishchuk"	"Helsinki Institute for Information Technology, Computer Science Department, University of Helsinki, Finland"	"Harold J. "	"Ship"	"IBM Research &#x2013; Haifa / Israel, Smarter Decision Solutions Group"												
"ttg2012122189"	"Supporting Awareness through Collaborative Brushing and Linking of Tabular Data"	"Maintaining an awareness of collaborators&#x0027; actions is critical during collaborative work, including during collaborative visualization activities. Particularly when collaborators are located at a distance, it is important to know what everyone is w"	"Collaboration, awareness, attentionally ambient visualization, brushing and linking, linked views, user study"	2189	"2189&#x002D;2197"	"Amir Hossein "	"Hajizadeh"	"University of Victoria"	"Melanie "	"Tory"	"University of Victoria"	"Rock "	"Leung"	"SAP"																		
"ttg2012122198"	"Identifying Redundancy and Exposing Provenance in Crowdsourced Data Analysis"	"We present a system that lets analysts use paid crowd workers to explore data sets and helps analysts interactively examine and build upon workers&#x0027; insights. We take advantage of the fact that, for many types of data, independent crowd workers can "	"Crowdsourcing; Social Data Analysis"	2198	"2198&#x002D;2206"	"Wesley "	"Willett "	"INRIA"	"Shiry "	"Ginosar"	"UC Berkeley"	"Avital "	"Steinitz"	"UC Berkeley"	"Bj&#x00F6;rn "	"Hartmann"	"UC Berkeley"	"Maneesh "	"Agrawala"	"UC Berkeley"												
"ttg2012122207"	"The Impact of Physical Navigation on Spatial Organization for Sensemaking"	"Spatial organization has been proposed as a compelling approach to externalizing the sensemaking process. However, there are two ways in which space can be provided to the user: by creating a physical workspace that the user can interact with directly, su"	"Sensemaking, visual analytics, physical navigation, embodiment large, high&#x002D;resolution displays"	2207	"2207&#x002D;2216"	"Christopher"	"Andrews"	"Middlebury College"	"Chris "	"North"	"Virginia Tech"																					
"ttg2012122217"	"Using Interactive Visual Reasoning to Support Sense&#x002D;making: Implications for Design"	"This research aims to develop design guidelines for systems that support investigators and analysts in the exploration and assembly of evidence and inferences. We focus here on the problem of identifying candidate &#x0027;influencers&#x0027; within a comm"	"Visual analytics, sense&#x002D;making, dataframe mode, evaluation, reasoning, analysis, interaction, interface design"	2217	"2217&#x002D;2226"	"Neesha "	"Kodagoda "	"School of Science and Technology, Middlesex University"	"Simon "	"Attfield"	"School of Science and Technology, Middlesex University"	"B.L. William "	"Wong"	"School of Science and Technology, Middlesex University"	"Chris "	"Rooney"	"School of Science and Technology, Middlesex University"	"Sharmin (Tinni) "	"Choudhury"	"School of Science and Technology, Middlesex University"												
"ttg2012122227"	"Temporal Event Sequence Simplification"	"Electronic Health Records (EHRs) have emerged as a cost&#x002D;effective data source for conducting medical research. The difficulty in using EHRs for research purposes, however, is that both patient selection and record analysis must be conducted across "	"Event sequences, simplification, electronic heath records, temporal query"	2227	"2227&#x002D;2236"	"Megan "	"Monroe "	"Department of Computer Science &#x0026; Human&#x002D;Computer Interaction Lab, University of Maryland"	"Rongjian "	"Lan"	"Department of Computer Science &#x0026; Human&#x002D;Computer Interaction Lab, University of Maryland"	"Hanseung "	"Lee"	"Department of Computer Science &#x0026; Human&#x002D;Computer Interaction Lab, University of Maryland"	"Catherine "	"Plaisant"	"Department of Computer Science &#x0026; Human&#x002D;Computer Interaction Lab, University of Maryland"	"Ben "	"Shneiderman"	"Department of Computer Science &#x0026; Human&#x002D;Computer Interaction Lab, University of Maryland"												
"ttg2012122237"	"Visual Analytics for Model Selection in Time Series Analysis"	"Model selection in time series analysis is a challenging task for domain experts in many application areas such as epidemiology, economy, or environmental sciences. The methodology used for this task demands a close combination of human judgement and auto"	"Visual analytics, model selection, visual interaction, time series analysis, coordinated &#x0026; multiple views"	2237	"2237&#x002D;2246"	"Markus "	"B&#x00F6;gl "	"Vienna University of Technology"	"Wolfgang "	"Aigner"	"Vienna University of Technology"	"Peter "	"Filzmoser"	"Vienna University of Technology"	"Tim "	"Lammarsch"	"Vienna University of Technology"	"Silvia "	"Miksch"	"Vienna University of Technology"	"Alexander "	"Rind"	"Vienna University of Technology"									
"ttg2012122247"	"TimeBench: A Data Model and Software Library for Visual Analytics of Time&#x002D;Oriented Data"	"Time&#x002D;oriented data play an essential role in many Visual Analytics scenarios such as extracting medical insights from collections of electronic health records or identifying emerging problems and vulnerabilities in network traffic. However, many so"	"Visual Analytics, information visualization, toolkits, software infrastructure, time, temporal data"	2247	"2247&#x002D;2256"	"Alexander "	"Rind "	"Vienna University of Technology, Institute of Software Technology &#x0026; Interactive Systems"	"Tim "	"Lammarsch"	"Vienna University of Technology, Institute of Software Technology &#x0026; Interactive Systems"	"Wolfgang "	"Aigner"	"Vienna University of Technology, Institute of Software Technology &#x0026; Interactive Systems"	"Bilal "	"Alsallakh"	"Vienna University of Technology, Institute of Software Technology &#x0026; Interactive Systems"	"Silvia "	"Miksch"	"Vienna University of Technology, Institute of Software Technology &#x0026; Interactive Systems"												
"ttg2012122257"	"MotionExplorer: Exploratory Search in Human Motion Capture Data Based on Hierarchical Aggregation"	"We present MotionExplorer, an exploratory search and analysis system for sequences of human motion in large motion capture data collections. This special type of multivariate time series data is relevant in many research fields including medicine, sports "	"Visual analytics, exploratory search, multivariate time series, motion capture data, data aggregation, cluster glyph"	2257	"2257&#x002D;2266"	"J&#x00FC;rgen "	"Bernard "	"Fraunhofer Institute for Computer Graphics Research Darmstadt"	"Nils "	"Wilhelm"	"Fraunhofer Institute for Computer Graphics Research Darmstadt"	"Bj&#x00F6;rn "	"Kr&#x00FC;ger"	"Institute of Computer Science, Universit&#x00E4;t Bonn"	"Thorsten "	"May"	"Fraunhofer Institute for Computer Graphics Research Darmstadt"	"Tobias "	"Schreck"	"Data Analysis and Visualization Group, Universit&#x00E4;t Konstanz"	"J&#x00F6;rn "	"Kohlhammer"	"Fraunhofer Institute for Computer Graphics Research Darmstadt"									
"ttg2012122267"	"Supporting the Visual Analysis of Dynamic Networks by Clustering associated Temporal Attributes"	"The visual analysis of dynamic networks is a challenging task. In this paper, we introduce a new approach supporting the discovery of substructures sharing a similar trend over time by combining computation, visualization and interaction. With existing te"	"Dynamic networks, visualization, supergraph clustering"	2267	"2267&#x002D;2276"	"Steffen "	"Hadlak "	"University of Rostock"	"Heidrun "	"Schumann"	"University of Rostock"	"Clemens H. "	"Cap"	"University of Rostock"	"Till "	"Wollenberg"	"University of Rostock"															
"ttg2012122277"	"LineUp: Visual Analysis of Multi&#x002D;Attribute Rankings"	"Rankings are a popular and universal approach to structuring otherwise unorganized collections of items by computing a rank for each item based on the value of one or more of its attributes. This allows us, for example, to prioritize tasks or to evaluate "	"Ranking visualization, ranking, scoring, multi&#x002D;attribute, multifactorial, multi&#x002D;faceted, stacked bar charts"	2277	"2277&#x002D;2286"	"Samuel "	"Gratzl "	"Johannes Kepler University Linz"	"Alexander "	"Lex"	"Johannes Kepler University Linz"	"Nils "	"Gehlenborg"	"Harvard University"	"Hanspeter "	"Pfister"	"Harvard University"	"Marc "	"Streit"	"Harvard Medical School"												
"ttg2012122287"	"A Model for Structure&#x002D;Based Comparison of Many Categories in Small&#x002D;Multiple Displays"	"Many application domains deal with multi&#x002D;variate data that consist of both categorical and numerical information. Smallmultiple displays are a powerful concept for comparing such data by juxtaposition. For comparison by overlay or by explicit encod"	"Comparative visualization, small&#x002D;multiple displays, trellis displays, categorical data"	2287	"2287&#x002D;2296"	"Johannes "	"Kehrer "	"VRVis Research Center, Vienna, and the Institute of Computer Graphics and Algorithms, Vienna University of Technology"	"Harald "	"Piringer"	"VRVis Research Center, Vienna"	"Wolfgang "	"Berger"	"VRVis Research Center, Vienna"	"M. Eduard "	"Gr&#x00F6;ller"	"Institute of Computer Graphics and Algorithms, Vienna University of Technology"															
"ttg2012122297"	"Common Angle Plots as Perception&#x002D;True Visualizations of Categorical Associations"	"Visualizations are great tools of communications&#x002D;they summarize findings and quickly convey main messages to our audience. As designers of charts we have to make sure that information is shown with a minimum of distortion. We have to also consider "	"Linewidth illusion, data visualization, high&#x002D;dimensional displays, parallel sets, hammock plots, M&#x00FC;ller&#x002D;Lyer illusion"	2297	"2297&#x002D;2305"	"Heike "	"Hofmann "	"Iowa State University"	"Marie "	"Vendettuoli"	"Iowa State University"																					
"ttg2012122306"	"What Makes a Visualization Memorable?"	"An ongoing debate in the Visualization community concerns the role that visualization types play in data understanding. In human cognition, understanding and memorability are intertwined. As a first step towards being able to ask questions about impact an"	"Visualization taxonomy, information visualization, memorability"	2306	"2306&#x002D;2315"	"Michelle A. "	"Borkin  "	"Harvard University"	"Azalea A. "	"Vo"	"Harvard University"	"Zoya "	"Bylinskii"	"Massachusetts Institute of Technology"	"Phillip "	"Isola"	"Massachusetts Institute of Technology"	"Shashank "	"Sunkavalli"	"Harvard University"	"Aude "	"Oliva"	"Massachusetts Institute of Technology"	"Hanspeter "	"Pfister"	"Harvard University"						
"ttg2012122316"	"Perception of Average Value in Multiclass Scatterplots"	"The visual system can make highly efficient aggregate judgements about a set of objects, with speed roughly independent of the number of objects considered. While there is a rich literature on these mechanisms and their ramifications for visual summarizat"	"Psychophysics, information visualization, perceptual study"	2316	"2316&#x002D;2325"	"Michael "	"Gleicher "	"University of Wisconsin &#x002D; Madison"	"Michael "	"Correll"	"University of Wisconsin &#x002D; Madison"	"Christine "	"Nothelfer"	"Northwestern University"	"Steven "	"Franconeri"	"Northwestern University"															
"ttg2012122326"	"Selecting the Aspect Ratio of a Scatter Plot Based on Its Delaunay Triangulation"	"Scatter plots are diagrams that visualize two&#x002D;dimensional data as sets of points in the plane. They allow users to detect correlations and clusters in the data. Whether or not a user can accomplish these tasks highly depends on the aspect ratio sel"	"Scatter plot, aspect ratio, Delaunay triangulation"	2326	"2326&#x002D;2335"	"Martin "	"Fink "	"Lehrstuhl I, Institut f&#x00FC;r Informatik, Universitﾬat W&#x00FC;rzburg"	"Jan&#x002D;Henrik "	"Haunert"	"Lehrstuhl I, Institut f&#x00FC;r Informatik, Universitﾬat W&#x00FC;rzburg"	"Joachim "	"Spoerhase"	"Lehrstuhl I, Institut f&#x00FC;r Informatik, Universitﾬat W&#x00FC;rzburg"	"Alexander "	"Wolff"	"Lehrstuhl I, Institut f&#x00FC;r Informatik, Universitﾬat W&#x00FC;rzburg"															
"ttg2012122336"	"Interactive Visualizations on Large and Small Displays: The Interrelation of Display Size, Information Space, and Scale"	"In controlled experiments on the relation of display size (i.e., the number of pixels) and the usability of visualizations, the size of the information space can either be kept constant or varied relative to display size. Both experimental approaches have"	"Information visualization, multi&#x002D;scale navigation, interaction techniques, experimental method, user studies"	2336	"2336&#x002D;2345"	"Mikkel R. "	"Jakobsen "	"University of Copenhagen"	"Kasper "	"Hornbﾾk"	"University of Copenhagen"																					
"ttg2012122346"	"Hybrid&#x002D;Image Visualization for Large Viewing Environments"	"We present a first investigation into hybrid&#x002D;image visualization for data analysis in large&#x002D;scale viewing environments. Hybrid&#x002D;image visualizations blend two different visual representations into a single static view, such that each r"	"Multi&#x002D;scale, large displays, hybrid images, collaboration, visualization"	2346	"2346&#x002D;2355"	"Petra "	"Isenberg "	"INRIA"	"Pierre "	"Dragicevic"	"INRIA"	"Wesley "	"Willett"	"INRIA"	"Anastasia "	"Bezerianos"	"LRI (Univ. Paris&#x002D;Sud &#x0026; CNRS) &#x0026; INRIA"	"Jean&#x002D;Daniel "	"Fekete"	"INRIA"												
"ttg2012122356"	"An Empirically&#x002D;Derived Taxonomy of Interaction Primitives for Interactive Cartography and Geovisualization"	"Proposals to establish a ""science of interaction"" have been forwarded from Information Visualization and Visual Analytics, as well as Cartography, Geovisualization, and GIScience. This paper reports on two studies to contribute to this call for an interac"	"Science of interaction, interaction primitives, interactive maps, geovisualization, interaction techniques"	2356	"2356&#x002D;2365"	"Robert E. "	"Roth "	"University of Wisconsin&#x002D;Madison"																								
